ADR name,Binary Clf Mean AUC,Multilabel Clf Mean AUC,Positive Count
Corneal_irritation,0.999366286439,0.999363867684,4.0
Adenoma_benign,0.999366286439,0.999363867684,4.0
International_normalised_ratio_increased,0.994915778984,0.995236263896,3.0
Hyperamylasaemia,0.994915778984,0.995236263896,3.0
Sleep_disorder,0.994915778984,0.995236263896,3.0
Decreased_interest,0.994915778984,0.995236263896,3.0
Diverticulum,0.994915778984,0.995236263896,3.0
Exomphalos,0.994915778984,0.995236263896,3.0
Poisoning,0.994915778984,0.995236263896,3.0
Ovarian_epithelial_cancer_stage_IV,0.994910941476,0.996178294461,6.0
Strabismus,0.989330975538,0.989342437044,10.0
Ovarian_hyperstimulation_syndrome,0.989185750636,0.982819441697,5.0
Acute_coronary_syndrome,0.987320891262,0.977099236641,3.0
Proctocolitis,0.984732824427,0.984732824427,5.0
Mucous_stools,0.984708451542,0.9851112416,6.0
Glomerulonephritis_rapidly_progressive,0.981578769144,0.972328244275,4.0
Cutaneous_vasculitis,0.97965344092,0.979667953444,4.0
Hydrocele,0.972745479349,0.958015267176,4.0
Delusion,0.970839501156,0.970839501156,3.0
Carpal_tunnel_syndrome,0.968294971894,0.953244274809,3.0
Carotid_artery_occlusion,0.96575528014,0.96575528014,3.0
Nephrotic_syndrome,0.963244613435,0.988549618321,3.0
Anaemia_vitamin_B12_deficiency,0.961851411101,0.961851411101,3.0
Aortic_bruit,0.961832061069,0.961832061069,5.0
Prostatism,0.954834605598,0.983822903363,5.0
Vestibular_ataxia,0.951575091575,0.935877243333,13.0
Anogenital_dysplasia,0.946666473166,0.946608423069,4.0
Adenovirus_infection,0.946545387188,0.961365564037,6.0
Visual_evoked_potentials_abnormal,0.943459205294,0.862404032458,4.0
Renal_rickets,0.935264466568,0.867605868865,3.0
Hypertensive_crisis,0.927630878782,0.724676951765,3.0
Hypersomnia,0.926910090074,0.898518421398,4.0
Quadriplegia,0.925221799747,0.94179389313,3.0
Syphilis,0.925207287222,0.925207287222,3.0
Vascular_dementia,0.924921763037,0.915781118488,6.0
Hypofibrinogenaemia,0.917938931298,0.831423717742,5.0
Partner_stress,0.913501327898,0.897456283814,20.0
Dermatitis_contact,0.91287164156,0.919852165752,4.0
Facial_nerve_disorder,0.91241207829,0.876736568103,4.0
Papillary_thyroid_cancer,0.91228630308,0.864768925212,4.0
Gastric_haemorrhage,0.911523987794,0.848464976913,6.0
Gingival_blister,0.91125832334,0.899097181445,6.0
Deficiency_anaemia,0.911193026248,0.907591937027,4.0
Blood_bilirubin_abnormal,0.909669211196,0.850350979819,5.0
Neoplasm_recurrence,0.907938570439,0.901155413655,12.0
Blood_potassium_decreased,0.903904316404,0.873235861033,12.0
Blepharospasm,0.90312265411,0.92277992278,6.0
Increased_appetite,0.902637633685,0.882517816579,6.0
Electrolyte_imbalance,0.898557455084,0.898557455084,3.0
Tongue_geographic,0.897231977864,0.897231977864,3.0
Intraventricular_haemorrhage,0.891978444064,0.891978444064,3.0
Diarrhoea_haemorrhagic,0.891978444064,0.891978444064,3.0
Metastasis,0.891978444064,0.891978444064,3.0
Osteodystrophy,0.891978444064,0.891978444064,3.0
Productive_cough,0.88971932778,0.88971932778,3.0
Myeloproliferative_disorder,0.881437272817,0.929397542041,10.0
Intertrigo_candida,0.881043256997,0.497469770115,5.0
Cervix_neoplasm,0.869890382066,0.86979121315,4.0
Renal_cancer,0.869164755851,0.704198473282,3.0
Folate_deficiency,0.866964665815,0.864983740556,8.0
Immunodeficiency,0.86641221374,0.898254576415,6.0
Complex_regional_pain_syndrome,0.865285074352,0.865285074352,3.0
Sedation,0.864503816794,0.752273057327,5.0
Sarcoidosis,0.864293385191,0.839905088091,3.0
Schizophrenia,0.861162294171,0.851019924022,7.0
Renal_pain,0.859953222453,0.855057767127,12.0
Vulvovaginal_pruritus,0.856234096692,0.856234096692,5.0
Cataract_cortical,0.855285945104,0.855285945104,3.0
Retching,0.854831843338,0.854831843338,8.0
Fluid_intake_reduced,0.854610862508,0.780288638193,7.0
Capillary_leak_syndrome,0.854115268143,0.855704389555,4.0
Soft_tissue_disorder,0.85389274277,0.860460355064,4.0
Meibomianitis,0.850138836483,0.720942298203,3.0
Genital_burning_sensation,0.848689553341,0.883335119554,16.0
Retinal_vein_occlusion,0.847395969388,0.596374045802,3.0
Injection_site_pain,0.846473130956,0.852812162295,10.0
Choking,0.845054615466,0.831389864453,3.0
Conjunctival_oedema,0.843516324959,0.842661649102,7.0
Hypochromic_anaemia,0.839694656489,0.886538461538,5.0
Infarction,0.838906899826,0.89829556143,9.0
Liver_abscess,0.837686330711,0.845896743458,6.0
Dyslexia,0.834237947349,0.854007633588,4.0
Cytogenetic_abnormality,0.833696146441,0.740458015267,3.0
Cardiac_arrest,0.83234648168,0.822058436431,4.0
Otitis_media_acute,0.830140485313,0.882863234008,8.0
Dermatitis,0.829903540088,0.780715757699,3.0
Pathological_gambling,0.828880407125,0.797757174318,5.0
Pelvic_neoplasm,0.828880407125,0.797757174318,5.0
Blood_calcium_increased,0.828880407125,0.797757174318,5.0
Otitis_externa,0.828880407125,0.797757174318,5.0
Histoplasmosis,0.828880407125,0.797757174318,5.0
Sick_sinus_syndrome,0.828587737884,0.637039950663,4.0
Microangiopathic_haemolytic_anaemia,0.828495825231,0.880407124682,4.0
Glossodynia,0.827777777778,0.8393452929,11.0
Sexually_active,0.827625073772,0.827625073772,3.0
Menopause,0.82612544626,0.753160102168,3.0
Pseudomembranous_colitis,0.823155216285,0.780393393078,5.0
Congenital_diaphragmatic_hernia,0.822627927902,0.932251908397,4.0
Suicidal_ideation,0.821200510856,0.856692406692,8.0
Vision_blurred,0.821200510856,0.856692406692,8.0
Spinal_osteoarthritis,0.820572631268,0.811906584456,18.0
Coronary_artery_insufficiency,0.819565785273,0.62213740458,3.0
Sinus_headache,0.818371156302,0.844984772571,10.0
Tendon_pain,0.818167745431,0.823044593039,3.0
Breast_cancer_male,0.817432308791,0.867916796263,18.0
Malignant_ovarian_cyst,0.81651331766,0.701239262076,4.0
Soft_tissue_necrosis,0.814885496183,0.699129862533,5.0
Electroencephalogram_abnormal,0.814515426813,0.814515426813,3.0
Warm_type_haemolytic_anaemia,0.814070376068,0.642449767483,4.0
Bronchospasm,0.813867200728,0.600855000829,4.0
Aphasia,0.813563013563,0.846263158763,12.0
Dry_eye,0.812977099237,0.855872933156,5.0
Blood_potassium_abnormal,0.809750481332,0.151064201739,4.0
Haemothorax,0.807559090161,0.877163973991,4.0
Psychomotor_retardation,0.807327410131,0.779208334078,24.0
Hypohidrosis,0.806564593022,0.805434878334,6.0
Pyrexia,0.805236270754,0.747169520544,8.0
Agitation,0.804909560724,0.728221260061,17.0
Mucous_membrane_disorder,0.804816223067,0.406458051076,3.0
Arthritis_infective,0.803754399306,0.764367816092,6.0
Cholecystitis_acute,0.801497470094,0.850248327291,7.0
Staphylococcal_bacteraemia,0.799727164543,0.834959945433,3.0
Eczema_infected,0.799727164543,0.834959945433,3.0
Conjunctival_haemorrhage,0.798043711723,0.737127390938,3.0
Pleural_rub,0.797487398291,0.656781024246,4.0
Hyperphosphataemia,0.796379164108,0.893169580039,6.0
Bulimia_nervosa,0.796083439762,0.630720991204,8.0
Rectal_discharge,0.79533844189,0.580810739668,6.0
Arteriovenous_fistula,0.794529262087,0.875959663066,5.0
Pancytopenia,0.794415580646,0.781488549618,3.0
Folliculitis,0.794415580646,0.781488549618,3.0
Encephalitis,0.79374201788,0.782110922413,8.0
Meningitis_viral,0.793254578701,0.793254578701,3.0
Nausea,0.79262086514,0.686364832851,5.0
Ammonia_increased,0.792252022137,0.84272800897,8.0
Dystonia,0.790829158071,0.856647630792,10.0
Tooth_deposit,0.790763262028,0.790763262028,3.0
Lung_disorder,0.790763262028,0.790763262028,3.0
Blepharitis_allergic,0.790466302048,0.711285231944,6.0
Patent_ductus_arteriosus,0.789871603638,0.683373230635,7.0
Fallot's_tetralogy,0.788420604513,0.802261585057,8.0
Disinhibition,0.788233245291,0.620201622889,3.0
Atrophy,0.787916298261,0.913189958896,9.0
Penile_discharge,0.7868956743,0.71918002273,5.0
Microvascular_coronary_artery_disease,0.785359765478,0.723655347899,4.0
Macrocytosis,0.78417821004,0.722838191229,10.0
Eye_oedema,0.783323174566,0.858645455473,4.0
Polyneuropathy,0.783078880407,0.818691651265,5.0
Microsomia,0.783047436604,0.604107483647,3.0
Fibrosarcoma,0.780534351145,0.695827665942,5.0
Urogenital_disorder,0.779717976429,0.75945830775,27.0
Pneumonia_klebsiella,0.777457264957,0.864907877672,11.0
Contact_lens_intolerance,0.777353689567,0.725376073626,5.0
Trigger_finger,0.776778026103,0.776778026103,3.0
Lipoatrophy,0.774112559139,0.726145038168,3.0
Physical_abuse,0.773931736422,0.573500195733,7.0
Aspergillus_infection,0.77075796727,0.747044948921,17.0
Neurofibroma,0.770522682151,0.752976530247,16.0
Basophilia,0.76981694338,0.776709811049,9.0
Leukocytoclastic_vasculitis,0.767134951043,0.777021380895,8.0
Colonic_pseudo-obstruction,0.765057568756,0.747090825802,6.0
Diabetic_retinopathy,0.764631043257,0.601940975061,5.0
Blood_urine,0.764239205101,0.809160305344,3.0
Rash_macular,0.764239205101,0.809160305344,3.0
Specific_gravity_urine_increased,0.76352809141,0.77118828549,3.0
Sarcoma,0.763479710951,0.707263873799,20.0
Nasal_discomfort,0.762877820349,0.807779565264,8.0
Incoherent,0.76240092422,0.716027447119,6.0
Monoparesis,0.762357053026,0.731677746537,6.0
Diabetes_mellitus,0.761935402104,0.559982610746,6.0
Weight_fluctuation,0.761450381679,0.897786993541,5.0
Hypersplenism,0.760934276452,0.763216753447,10.0
Skin_cancer,0.75911628402,0.29851186574,3.0
Acute_graft_versus_host_disease,0.757937911386,0.840986646153,9.0
Hyperaesthesia,0.757553768903,0.757553768903,3.0
Narcolepsy,0.756473616474,0.68034038832,13.0
Myocardial_rupture,0.75628634178,0.75628634178,3.0
Anaphylactic_shock,0.755131590042,0.747827784408,36.0
Odynophagia,0.754940383922,0.655128205128,7.0
Growth_hormone_deficiency,0.753732638889,0.711192751478,25.0
Vulval_disorder,0.753507258245,0.667655937074,6.0
Hypertonic_bladder,0.753338822508,0.716289542125,24.0
Family_stress,0.753020925435,0.777539256609,10.0
Blood_cholesterol_increased,0.752411497789,0.598282442748,3.0
Petechiae,0.751655642353,0.732300638551,16.0
Cervix_disorder,0.750106837607,0.686771536915,11.0
Application_site_atrophy,0.75,0.696005979656,5.0
"_visual""",0.74994881694,0.821707556413,7.0
Paralysis,0.749698535745,0.790119782589,17.0
Dysarthria,0.748566874324,0.804566016398,6.0
Rectal_ulcer,0.748198198198,0.714871886965,14.0
Throat_irritation,0.747938053874,0.836419291387,6.0
Major_depression,0.747339293316,0.707128218836,8.0
Methaemoglobinaemia,0.74718005713,0.488621794872,7.0
Myopathy,0.745837199326,0.789459409186,16.0
Oedema_mucosal,0.744964561824,0.744964561824,6.0
White_blood_cell_count_decreased,0.744910941476,0.765638968652,5.0
Infection,0.744157819309,0.744681023921,7.0
Genital_haemorrhage,0.743381739855,0.715486654885,21.0
Corneal_defect,0.743381739855,0.715486654885,21.0
Ascites,0.743381739855,0.715486654885,21.0
Hypovolaemic_shock,0.743263769967,0.477099236641,3.0
Immunology_test,0.743012219545,0.826343134125,3.0
Lactic_acidosis,0.742783190009,0.727503609968,70.0
Auricular_swelling,0.74159216688,0.730805627612,8.0
Antinuclear_antibody_positive,0.740315027671,0.730579059767,8.0
Incontinence,0.739821882952,0.637830827634,5.0
Skin_exfoliation,0.737852441301,0.781078615561,10.0
Personality_disorder,0.737733126651,0.751758334964,7.0
