ADR name,Extra Trees Mean AUC,Web Mean AUC,Positive Count
Cushing's_syndrome,0.831706637957,0.987378,12.0
Acute_leukaemia,0.802367483763,0.612749,16.0
Crocodile_tears_syndrome,0.763070628768,0.546225,17.0
Necrotising_colitis,0.731517094017,0.333653,11.0
Breath_sounds_abnormal,0.726718889219,0.485655,12.0
Atrioventricular_block_second_degree,0.724508519663,0.745549,19.0
Autonomic_neuropathy,0.723041768791,0.615915,24.0
Rash_macular,0.719284188034,0.701469,11.0
Hepatosplenomegaly,0.719177350427,0.579502,11.0
Blindness_cortical,0.71392531622,0.763283,23.0
Iridocyclitis,0.711325611326,0.838942,14.0
Varicose_vein,0.707060488187,0.555871,33.0
Hypomania,0.70551764389,0.535803,15.0
Faecalith,0.701285621881,0.477879,18.0
Deficiency_anaemia,0.691845499985,0.485867,15.0
Somnambulism,0.691239316239,0.50878,11.0
Graft_loss,0.690414315414,0.532361,12.0
Tumour_lysis_syndrome,0.689441665123,0.742971,20.0
Asphyxia,0.688424413424,0.535025,12.0
Dyspnoea_exertional,0.68740038115,0.449393,12.0
Ophthalmoplegia,0.686912393162,0.537942,11.0
Exophthalmos,0.684149326105,0.793608,27.0
Miliaria,0.681611665307,0.891661,34.0
Arrhythmia_supraventricular,0.680371111845,0.582906,21.0
Mucous_membrane_disorder,0.680043185478,0.736312,33.0
Polymyalgia_rheumatica,0.679244629245,0.689782,12.0
Pericardial_effusion,0.676556776557,0.791205,41.0
Febrile_neutropenia,0.675393138493,0.849944,70.0
Abscess_sterile,0.675094529746,0.850144,16.0
Herpes_simplex,0.674724573867,0.793317,109.0
Ureteric_obstruction,0.672621027621,0.620763,13.0
Hyporeflexia,0.67249238099,0.62143,33.0
Extravasation,0.670508348868,0.799553,70.0
Dyspareunia,0.669017094017,0.39735,11.0
Skin_necrosis,0.665966754156,0.66037,29.0
Sleep_apnoea_syndrome,0.665384615385,0.620956,11.0
Optic_atrophy,0.661310761311,0.651973,13.0
Ovarian_disorder,0.661218776916,0.510639,17.0
Neurosis,0.661147564888,0.676449,29.0
Penis_disorder,0.656818612633,0.605357,15.0
Electroencephalogram_abnormal,0.655940423405,0.507529,19.0
Calcinosis,0.655940159429,0.808091,15.0
Cardiogenic_shock,0.655448717949,0.48675,11.0
Mucosal_inflammation,0.654894520537,0.86692,48.0
Ejaculation_failure,0.6535001485,0.655743,13.0
Drug_withdrawal_syndrome,0.652959484209,0.512424,12.0
Hypochromic_anaemia,0.652707072943,0.601477,36.0
Atrioventricular_block_complete,0.64431742393,0.767858,18.0
Hypochloraemia,0.64375,0.576575,11.0
Ichthyosis,0.643262460626,0.776738,21.0
Lens_disorder,0.64244734931,0.69354,26.0
Fat_embolism,0.641884409326,0.917992,15.0
Pulmonary_congestion,0.64086551928,0.589168,31.0
Brain_oedema,0.640672287073,0.527966,18.0
Nail_disorder,0.639626787354,0.872075,65.0
Breast_cancer,0.639254649671,0.773092,35.0
Menopause,0.637780175908,0.582087,21.0
Strabismus,0.63712998713,0.392372,14.0
Leukoderma,0.636396379167,0.850695,44.0
Atrioventricular_block_first_degree,0.63607868569,0.616356,20.0
Polyneuropathy,0.635427885283,0.51245,21.0
Dependence,0.633354866494,0.84112,17.0
Mass,0.631583476764,0.798029,44.0
Thyroid_disorder,0.631301567348,0.473716,15.0
Tooth_abscess,0.628742589405,0.676804,42.0
Akinesia,0.628176649962,0.421407,19.0
Paraparesis,0.62770544631,0.829597,15.0
Amenorrhoea,0.627326007326,0.807388,77.0
Urethral_pain,0.625801282051,0.480896,11.0
Vaginal_haemorrhage,0.625055327948,0.809248,72.0
Gastrointestinal_tract_irritation,0.623896956643,0.467377,21.0
Tendon_disorder,0.623841225449,0.472919,22.0
Psoriasis,0.623619905359,0.832762,61.0
Glucose_tolerance_decreased,0.623557278208,0.619262,17.0
Hypercalcaemia,0.620331108646,0.717121,51.0
Haemolysis,0.619756857109,0.561722,32.0
Cataract_subcapsular,0.619431225714,0.925682,36.0
Peripheral_sensory_neuropathy,0.618335193396,0.672575,19.0
Uterine_leiomyoma,0.617439737933,0.390765,22.0
Neoplasm,0.617404964532,0.768188,127.0
Rheumatoid_arthritis,0.617241059848,0.386705,20.0
Muscle_contracture,0.61712998713,0.650203,13.0
Nasal_discomfort,0.616306719352,0.774592,19.0
Micturition_urgency,0.616016566284,0.704278,49.0
Ileus_paralytic,0.615542066629,0.854463,34.0
Cardiomyopathy,0.614907453496,0.778035,54.0
Nasal_septum_perforation,0.61445681562,0.873243,15.0
Blood_cholesterol_increased,0.613897414435,0.497024,23.0
Oesophagitis_ulcerative,0.612990196078,0.92532,26.0
Folliculitis,0.612277838825,0.851327,68.0
Dermatitis_contact,0.611989676756,0.802713,120.0
Malignant_melanoma,0.611561308551,0.59654,25.0
Dissociation,0.610795563205,0.751943,44.0
Emotional_distress,0.610110705116,0.492582,27.0
Onycholysis,0.609300812373,0.454873,21.0
Angina_unstable,0.609173126615,0.564607,17.0
Blood_bilirubin_increased,0.609032848932,0.827362,64.0
Intraocular_pressure_increased,0.608943711353,0.767552,44.0
Optic_neuritis,0.608074313736,0.746235,54.0
Retching,0.608031869078,0.386658,17.0
Metrorrhagia,0.607887450363,0.835406,80.0
Adrenal_insufficiency,0.607181393992,0.746086,29.0
Myopathy,0.607120834927,0.806869,87.0
Oral_disorder,0.606687951688,0.54543,13.0
Hyperuricaemia,0.606502502483,0.798165,108.0
Completed_suicide,0.606455771439,0.841833,63.0
Hepatic_steatosis,0.60637027585,0.598648,30.0
Hepatitis_fulminant,0.606000019954,0.563191,15.0
Paresis,0.605739240839,0.739414,40.0
Panic_attack,0.605555555556,0.544008,11.0
Lacrimal_disorder,0.604704109699,0.434938,27.0
Glucose_tolerance_impaired,0.604361653913,0.813703,36.0
Peripheral_vascular_disorder,0.603645833333,0.739751,47.0
Alkalosis,0.602971913729,0.788473,37.0
Enuresis,0.602863910422,0.509116,17.0
Hyperventilation,0.602329374024,0.842202,65.0
Throat_irritation,0.602064625097,0.627542,36.0
Skin_atrophy,0.601623268829,0.964292,36.0
Drooling,0.601549145299,0.406609,11.0
Anger,0.601158301158,0.560417,14.0
Gastrooesophageal_reflux_disease,0.601138848845,0.791663,75.0
Electrocardiogram_abnormal,0.600895507254,0.747632,54.0
Abnormal_faeces,0.600449263851,0.426393,18.0
Sepsis,0.599880952381,0.792624,117.0
Dental_caries,0.59964067553,0.463272,32.0
Hyperaesthesia,0.59930168045,0.761291,55.0
Cyst,0.598564621106,0.803075,74.0
Hypoalbuminaemia,0.5976624465,0.56586,15.0
Eye_infection,0.597251385244,0.721663,29.0
Hepatic_cirrhosis,0.596967045786,0.57504,29.0
Rash_erythematous,0.596443274463,0.74739,58.0
Yawning,0.596347331584,0.740668,29.0
Hypothyroidism,0.595358800984,0.730942,58.0
Corneal_opacity,0.595305770887,0.530695,17.0
Drug_abuse,0.595093004679,0.655084,30.0
Rhabdomyolysis,0.594501130996,0.825983,75.0
Skin_lesion,0.594181887932,0.507052,12.0
Rash_generalised,0.594056622369,0.701657,31.0
Injection_site_inflammation,0.593756808279,0.672888,25.0
Skin_papilloma,0.593720779417,0.548912,18.0
Hyperkeratosis,0.593472791597,0.488047,22.0
Iron_deficiency,0.592919017919,0.415064,13.0
Prothrombin_level_increased,0.592913385827,0.63971,29.0
White_blood_cell_count_decreased,0.592491951578,0.531122,27.0
Necrosis,0.592401978204,0.755468,190.0
Loss_of_libido,0.592354910714,0.657483,23.0
