ADR name,Extra Trees Mean AUC,Web Mean AUC,Positive Count
Thyroid_disorder,0.7349545559,0.473716,15
Faeces_discoloured,0.7075320513,0.550181,11
Macular_oedema,0.6898504274,0.46871,11
Fibroadenoma_of_breast,0.6810359123,0.376113,12
Asphyxia,0.6803200178,0.535025,12
Drooling,0.6608974359,0.406609,11
Drug_withdrawal_syndrome,0.6531005594,0.512424,12
Cutaneous_vasculitis,0.6498777848,0.734836,15
Multi-organ_failure,0.6441862192,0.549519,12
Cardiac_valve_disease,0.6363899614,0.661378,14
Colitis_ulcerative,0.6363537957,0.432941,16
Emotional_distress,0.6334148182,0.492582,27
Tachypnoea,0.6316472114,0.463501,20
Photopsia,0.6283665463,0.348996,18
Atrial_flutter,0.625399419,0.49254,26
Bacterial_infection,0.6206317837,0.647829,33
Eyelid_oedema,0.6190062155,0.50855,16
Sialoadenitis,0.6146074646,0.549647,14
Iron_deficiency,0.6143421443,0.415064,13
Abnormal_faeces,0.613071718,0.426393,18
Gamma-glutamyltransferase_increased,0.6127200599,0.714167,38
Laboratory_test_abnormal,0.609654228,0.493737,31
Organ_failure,0.6096442468,0.754414,20
Hepatosplenomegaly,0.609508547,0.579502,11
Gastrointestinal_perforation,0.6094405036,0.46535,16
Pulmonary_hypertension,0.6054030076,0.475964,24
Neutrophil_count_decreased,0.6051816239,0.700883,11
Abdominal_pain_lower,0.5995230626,0.550169,19
Penis_disorder,0.5990152944,0.605357,15
Skin_burning_sensation,0.5979166667,0.613506,11
Malignant_melanoma,0.597657101,0.59654,25
Pruritus_generalised,0.5959459459,0.516442,14
Congenital_eye_disorder,0.5959058509,0.401517,13
Miosis,0.5954861868,0.75878,30
Renal_tubular_necrosis,0.5944696564,0.54792,24
Diarrhoea_haemorrhagic,0.5936785869,0.654793,20
Protrusion_tongue,0.5935958345,0.949984,22
Dyspareunia,0.5915598291,0.39735,11
Breath_odour,0.5908708307,0.570163,27
Vestibular_disorder,0.590758547,0.517188,11
Tenosynovitis,0.5900882896,0.44696,27
Swelling_face,0.5899730009,0.604853,24
Hyperpyrexia,0.5876944802,0.642457,21
Perineal_pain,0.5871537472,0.588065,13
Epigastric_discomfort,0.5860783459,0.72809,31
Oculogyric_crisis,0.5843500363,0.776295,26
Accommodation_disorder,0.583621515,0.653017,24
Heart_rate_irregular,0.5822090635,0.412931,12
Akinesia,0.5821928778,0.421407,19
Musculoskeletal_chest_pain,0.5812444312,0.439454,13
Rhinitis_allergic,0.5799145299,0.54454,11
Polydipsia,0.5785903844,0.513429,15
Rales,0.5775553385,0.624155,23
Lymphocytosis,0.5773165169,0.698994,25
Corneal_deposits,0.5763327888,0.540287,12
Feeling_abnormal,0.5757417225,0.56939,23
Gangrene,0.575267094,0.527778,11
Feeling_hot,0.5741765481,0.6267,32
Cardiogenic_shock,0.5730769231,0.48675,11
Duodenal_ulcer,0.5726119113,0.62475,39
Amblyopia,0.5719945204,0.820663,76
Deficiency_anaemia,0.5719224208,0.485867,15
Breath_sounds_abnormal,0.5707306207,0.485655,12
Dysphoria,0.570505183,0.578511,18
Blood_alkaline_phosphatase_increased,0.5704361009,0.774862,118
Cold_sweat,0.5672981952,0.414166,16
Cerebral_thrombosis,0.5668364518,0.551622,13
Leiomyoma,0.5666636736,0.333223,15
