ADR name,Extra Trees Mean AUC,Web Mean AUC,Positive Count
Ovarian_cancer,0.7353943916,0.677756,12
Cogwheel_rigidity,0.7255826156,0.424206,13
Tooth_infection,0.7006366944,0.352489,12
Regurgitation,0.7,0.42359,14
Bronchiolitis,0.6955128205,0.484195,11
Sialoadenitis,0.679021879,0.549647,14
Micturition_disorder,0.6763458734,0.612499,28
Subdural_haematoma,0.6532140382,0.60168,13
Carcinogenicity,0.6531280058,0.570795,18
Alcohol_intolerance,0.6509721163,0.584272,19
Pulmonary_toxicity,0.6503458712,0.77141,20
Glossodynia,0.6487246001,0.561677,20
Ventricular_dysfunction,0.6413119979,0.631481,18
Lactic_acidosis,0.6368589744,0.476054,11
Sensory_disturbance,0.6351994852,0.501442,14
Appendicitis,0.6290843728,0.436763,12
Sinus_arrhythmia,0.6225190575,0.403711,13
Tachypnoea,0.6160830091,0.463501,20
Cardiac_valve_disease,0.6125482625,0.661378,14
Teratogenicity,0.6116709733,0.540583,17
Gallbladder_disorder,0.608016533,0.47834,12
Photopsia,0.6050135399,0.348996,18
Polycythaemia,0.604391659,0.689773,24
Hemiparesis,0.604143346,0.417832,16
Gastrointestinal_pain,0.6039297171,0.526776,29
Lymphopenia,0.6030952381,0.788057,41
Metabolic_acidosis,0.5994123017,0.610793,30
Gamma-glutamyltransferase_increased,0.5982948548,0.714167,38
Hypovolaemia,0.596228094,0.538443,19
Osteopenia,0.5961748837,0.391621,12
Atelectasis,0.595771705,0.59116,28
Body_temperature_decreased,0.5939813151,0.610946,32
Benign_neoplasm_of_skin,0.5934288684,0.488306,13
Salivary_gland_enlargement,0.5933080106,0.468869,20
Dizziness_postural,0.591838932,0.400643,17
Respiratory_distress,0.5914723365,0.763975,62
Protrusion_tongue,0.5914722589,0.949984,22
Gingival_pain,0.5913461538,0.452533,11
Corneal_deposits,0.5904656717,0.540287,12
Meningism,0.5903311966,0.627661,11
Megacolon,0.5889957265,0.341582,11
Lower_respiratory_tract_infection,0.5874818446,0.47696,26
Iron_deficiency_anaemia,0.5868443718,0.529857,13
Drug_hypersensitivity,0.586835174,0.359816,16
Proteinuria,0.5838547526,0.796424,82
Gastrointestinal_perforation,0.5834550497,0.46535,16
Restless_legs_syndrome,0.5813568376,0.316784,11
Mydriasis,0.5810515696,0.839575,76
Tardive_dyskinesia,0.5810297428,0.88931,31
Pneumonia_aspiration,0.5800747863,0.657035,11
Abortion_spontaneous,0.5776383526,0.650689,14
Renal_tubular_disorder,0.5772655137,0.76948,45
Abdominal_pain_lower,0.5764119601,0.550169,19
Chromaturia,0.5763203933,0.512938,18
Bacterial_infection,0.5762226538,0.647829,33
Pruritus_genital,0.5758260712,0.557237,26
Choking,0.5751757252,0.650236,12
Miosis,0.5745712863,0.75878,30
Thrombotic_thrombocytopenic_purpura,0.5736460035,0.616519,25
Respiratory_failure,0.573619793,0.794469,57
Feeling_cold,0.5733427684,0.689614,28
Cerebral_infarction,0.5688816267,0.602403,26
Swelling,0.5662034898,0.762494,177
Dermatitis_atopic,0.5655682985,0.602455,30
Renal_failure_acute,0.5651647398,0.783167,119
Fat_redistribution,0.5638847639,0.340742,12
Vitreous_detachment,0.5638414513,0.637458,12
Hyperpyrexia,0.5628854138,0.642457,21
Personality_disorder,0.5616897489,0.663946,36
Chloasma,0.5611246411,0.680776,13
Hyperthermia,0.5610465116,0.447812,17
Skin_burning_sensation,0.560042735,0.613506,11
Balanitis,0.5594514157,0.581017,12
Tongue_disorder,0.5567895561,0.548793,25
Heart_rate_irregular,0.5561819374,0.412931,12
White_blood_cell_count_increased,0.55498713,0.455769,14
Gangrene,0.5549145299,0.527778,11
Prostatic_disorder,0.554796707,0.731997,47
Hyperphosphataemia,0.5544619423,0.736761,29
