ADR name,Extra Trees Mean AUC,Web Mean AUC,Positive Count
Rhinitis_allergic,0.712019230769,0.54454,11.0
Panic_attack,0.711004273504,0.544008,11.0
Metastatic_neoplasm,0.710897435897,0.397935,11.0
Muscle_contracture,0.694078804079,0.650203,13.0
Cardiac_valve_disease,0.68815958816,0.661378,14.0
Aplasia_pure_red_cell,0.646955128205,0.680875,11.0
Megacolon,0.637553418803,0.341582,11.0
Renal_artery_stenosis,0.633066239316,0.675713,11.0
Sensory_disturbance,0.632786357786,0.501442,14.0
Asphyxia,0.631749331749,0.535025,12.0
Bladder_pain,0.630021367521,0.476799,11.0
Dyspnoea_exertional,0.626222032472,0.449393,12.0
Colitis_ulcerative,0.619144393563,0.432941,16.0
Tachypnoea,0.617796924217,0.463501,20.0
Cutaneous_vasculitis,0.615980764818,0.734836,15.0
Hyperkeratosis,0.615097218362,0.488047,22.0
Skin_burning_sensation,0.61063034188,0.613506,11.0
Fibroadenoma_of_breast,0.608376027126,0.376113,12.0
Cerebral_thrombosis,0.606883971884,0.551622,13.0
Depressed_mood,0.606805316764,0.504618,19.0
Drooling,0.60641025641,0.406609,11.0
Polydipsia,0.604838725769,0.513429,15.0
Ventricular_arrhythmia,0.602561908022,0.648681,31.0
Emotional_disorder,0.598034229284,0.467551,12.0
Bacterial_infection,0.596953204167,0.647829,33.0
Corneal_erosion,0.596035664786,0.747044,12.0
Gamma-glutamyltransferase_increased,0.595996356455,0.714167,38.0
Choking,0.594780838531,0.650236,12.0
Gingival_pain,0.594764957265,0.452533,11.0
Catatonia,0.594219010561,0.44769,20.0
Subdural_haematoma,0.593845658846,0.60168,13.0
Induration,0.593401227679,0.691461,23.0
Atrial_flutter,0.591648511256,0.49254,26.0
Congenital_anomaly,0.586752840535,0.581719,27.0
Pemphigoid,0.585571119292,0.39098,15.0
Cardio-respiratory_arrest,0.585120585702,0.527456,17.0
Congenital_eye_disorder,0.585097020097,0.401517,13.0
Breath_sounds_abnormal,0.583502252252,0.485655,12.0
Sciatica,0.578208440999,0.457701,17.0
Osteoarthropathy,0.576930501931,0.455577,14.0
Pulmonary_eosinophilia,0.574876151408,0.508066,19.0
Iron_deficiency,0.571782496782,0.415064,13.0
Lactic_acidosis,0.571420940171,0.476054,11.0
Drug_eruption,0.570035774012,0.50091,36.0
Skin_infection,0.566664640078,0.541636,22.0
Coma_hepatic,0.563888888889,0.686196,11.0
Osteomyelitis,0.562348777349,0.695464,13.0
Coronary_artery_disease,0.562223265823,0.679575,45.0
Labyrinthitis,0.562176022176,0.558278,13.0
Cerebral_haemorrhage,0.560989010989,0.65559,41.0
Tongue_discolouration,0.560247657296,0.734232,42.0
Uterine_disorder,0.560156791407,0.490744,12.0
White_blood_cell_disorder,0.559332244332,0.570781,13.0
Enteritis,0.559253826932,0.504621,27.0
Ventricular_dysfunction,0.559111878597,0.631481,18.0
Left_ventricular_dysfunction,0.558646421146,0.547119,12.0
Pulmonary_hypertension,0.55795643127,0.475964,24.0
Tooth_infection,0.557095832096,0.352489,12.0
Joint_stiffness,0.555908203125,0.5466,23.0
Body_temperature_decreased,0.554988621392,0.610946,32.0
Viral_diarrhoea,0.554784486752,0.574922,21.0
Skin_papilloma,0.553828294406,0.548912,18.0
Blood_disorder,0.552279497395,0.608917,40.0
Perineal_pain,0.550958815959,0.588065,13.0
Hyperprolactinaemia,0.550904392765,0.497919,17.0
Abdominal_discomfort,0.550777599019,0.729533,106.0
Sensitisation,0.550568678915,0.596572,29.0
Biliary_colic,0.549808806059,0.437634,12.0
Anorgasmia,0.548440134487,0.596717,16.0
Alveolitis,0.545805273712,0.498553,16.0
Intestinal_obstruction,0.545640116628,0.820272,63.0
Oesophageal_ulcer,0.543701263323,0.697459,38.0
Haematocrit_decreased,0.541827831393,0.571286,24.0
Hepatocellular_injury,0.5412830965,0.809857,57.0
Akinesia,0.540542190393,0.421407,19.0
Ovarian_cancer,0.539797421047,0.677756,12.0
Feeling_abnormal,0.539771670387,0.56939,23.0
Periodontitis,0.539423076923,0.612761,11.0
Arteriosclerosis,0.538256113256,0.60984,14.0
Azotaemia,0.53797359052,0.83553,53.0
Unintended_pregnancy,0.536241956242,0.596022,13.0
Tooth_abscess,0.535499330656,0.676804,42.0
Retinal_detachment,0.535271317829,0.724453,17.0
Tonsillitis,0.535238138328,0.420681,18.0
Hypertonia,0.534861168765,0.755833,134.0
Frequent_bowel_movements,0.533974358974,0.359515,11.0
Gastric_ulcer,0.533396838981,0.811298,55.0
Laboratory_test_abnormal,0.532697395039,0.493737,31.0
Respiratory_disorder,0.53219086046,0.751519,106.0
Arterial_thrombosis,0.532084409991,0.556306,17.0
Atelectasis,0.530794263462,0.59116,28.0
Tension,0.530788859726,0.607887,29.0
Anuria,0.530575706845,0.631404,23.0
Sinus_headache,0.530271216098,0.480811,27.0
Cytomegalovirus_infection,0.530234011484,0.414691,12.0
Amylase_increased,0.529950422864,0.542041,29.0
Sleep_apnoea_syndrome,0.529754273504,0.620956,11.0
