ADR name,Extra Trees Mean AUC,Web Mean AUC,Positive Count
Hypertensive_crisis,0.7160700568,0.451288,16
Scleritis,0.7088963964,0.714281,12
Temperature_intolerance,0.6799145299,0.672201,11
Renal_artery_stenosis,0.6594017094,0.675713,11
Biliary_colic,0.6570030195,0.437634,12
Bronchiolitis,0.6534722222,0.484195,11
Cerebellar_syndrome,0.6524038462,0.577214,11
Vasculitis_necrotising,0.6425925926,0.749035,17
Gangrene,0.641292735,0.527778,11
Osteopenia,0.6347663598,0.391621,12
Alcohol_intolerance,0.6344681872,0.584272,19
Pneumonia_aspiration,0.6327991453,0.657035,11
Opportunistic_infection,0.6310508183,0.512184,17
Ventricular_dysfunction,0.6309350252,0.631481,18
Lower_respiratory_tract_infection,0.627587146,0.47696,26
Teratogenicity,0.6209732989,0.540583,17
Lung_neoplasm_malignant,0.6196189241,0.292067,20
Lymphocytosis,0.6097460512,0.698994,25
Aneurysm,0.6093884582,0.37885,17
Vitreous_detachment,0.6089551777,0.637458,12
Lymphopenia,0.6064102564,0.788057,41
Coma_hepatic,0.6054487179,0.686196,11
Metabolic_acidosis,0.6051769838,0.610793,30
Leiomyoma,0.6042396217,0.333223,15
Cerebral_infarction,0.6023602033,0.602403,26
Ocular_hyperaemia,0.5961619427,0.544758,16
Tardive_dyskinesia,0.5942947102,0.88931,31
Metastatic_neoplasm,0.5941773504,0.397935,11
Suicidal_ideation,0.5921279862,0.805219,40
Squamous_cell_carcinoma,0.591902909,0.424372,20
Uveitis,0.5902283114,0.502835,24
Depressed_mood,0.5901577534,0.504618,19
Duodenitis,0.5856011285,0.598478,24
Cardiomegaly,0.5852933238,0.829658,45
Multi-organ_failure,0.5840510841,0.549519,12
Paraesthesia_oral,0.5838585271,0.390199,30
Subdural_haematoma,0.5823581824,0.60168,13
Photopsia,0.5809688749,0.348996,18
Cerebral_haemorrhage,0.5798351648,0.65559,41
Gamma-glutamyltransferase_increased,0.5796940443,0.714167,38
Prostatic_disorder,0.5796286962,0.731997,47
Nephropathy,0.5795549693,0.883726,63
Gingival_pain,0.5790598291,0.452533,11
Eye_pruritus,0.579058206,0.527132,28
Scrotal_oedema,0.5789241068,0.422678,16
Respiratory_distress,0.5785175387,0.763975,62
Sensitisation,0.5778944299,0.596572,29
Apnoea,0.5771304789,0.815921,78
Arterial_thrombosis,0.5768518519,0.556306,17
Cyanosis,0.5759407002,0.721712,50
Gastrointestinal_pain,0.5743657043,0.526776,29
Disturbance_in_attention,0.5726143973,0.483648,23
Arterial_stenosis,0.5708333333,0.724777,11
Fluid_overload,0.5701531121,0.642104,33
Joint_stiffness,0.5693824405,0.5466,23
Chloasma,0.5691431541,0.680776,13
Glucose_tolerance_decreased,0.5682170543,0.619262,17
Keratopathy,0.5674145299,0.476958,11
Pemphigoid,0.5673011882,0.39098,15
Body_temperature_decreased,0.5669481375,0.610946,32
Respiratory_failure,0.5661701091,0.794469,57
Protrusion_tongue,0.5661547358,0.949984,22
Asphyxia,0.5651383526,0.535025,12
Ovarian_cancer,0.5643414018,0.677756,12
Choreoathetosis,0.5641043527,0.68083,23
Tetany,0.5622876907,0.425434,20
Meningitis,0.5620965768,0.65995,42
Leukocytoclastic_vasculitis,0.5618606068,0.651047,33
Laryngitis,0.5613520562,0.791858,81
