ADR name,Random Forest Mean AUC,Web Mean AUC,Positive Count
Alveolitis,0.7059336745,0.498553,16
Choking,0.690244159,0.650236,12
Rhinitis_allergic,0.6848290598,0.54454,11
Polydipsia,0.6720835453,0.513429,15
Productive_cough,0.6655982906,0.409802,11
Scleritis,0.6588834026,0.714281,12
Deficiency_anaemia,0.6574805703,0.485867,15
Cutaneous_vasculitis,0.6526747678,0.734836,15
White_blood_cell_disorder,0.6524858925,0.570781,13
White_blood_cell_count_increased,0.6437258687,0.455769,14
Perineal_pain,0.6366369666,0.588065,13
Lip_swelling,0.6342696517,0.503071,15
Oral_pain,0.6333655084,0.569968,14
Ejaculation_failure,0.6248955549,0.655743,13
Keratopathy,0.622008547,0.476958,11
Pulmonary_hypertension,0.6183469286,0.475964,24
Tension,0.6165427238,0.607887,29
Colitis_ulcerative,0.615777239,0.432941,16
Crystalluria,0.6087718937,0.635392,28
Emotional_disorder,0.6073934511,0.467551,12
Polyneuropathy,0.6057358255,0.51245,21
Aplasia_pure_red_cell,0.602724359,0.680875,11
Neurological_symptom,0.6013360063,0.607048,13
Urethral_pain,0.5980235043,0.480896,11
Induration,0.5965053013,0.691461,23
Lipase_increased,0.5946581197,0.56689,11
Carcinogenicity,0.5941979442,0.570795,18
Arterial_stenosis,0.5941773504,0.724777,11
Pemphigoid,0.5935969192,0.39098,15
Osteoarthritis,0.5892984346,0.463124,15
Eyelid_oedema,0.5879046821,0.50855,16
Intestinal_obstruction,0.5847116885,0.820272,63
Catatonia,0.5845840282,0.44769,20
Alcohol_intolerance,0.5842827554,0.584272,19
Renal_artery_stenosis,0.5835470085,0.675713,11
Cerebral_infarction,0.5823620189,0.602403,26
Hyperkeratosis,0.5813291817,0.488047,22
Enteritis,0.5811318111,0.504621,27
Atrial_flutter,0.5803195352,0.49254,26
Breath_sounds_abnormal,0.5780776656,0.485655,12
Organ_failure,0.5775121981,0.754414,20
Obstructive_airways_disorder,0.5737891996,0.451271,18
Drooling,0.5735576923,0.406609,11
Skin_burning_sensation,0.5730235043,0.613506,11
Cold_sweat,0.5724616643,0.414166,16
Osteoporotic_fracture,0.5721153846,0.44503,11
Duodenal_ulcer,0.5683783839,0.62475,39
Skin_infection,0.5676359552,0.541636,22
Sensory_disturbance,0.5666023166,0.501442,14
Anuria,0.5661272321,0.631404,23
Pruritus_generalised,0.5650579151,0.516442,14
Cerebrovascular_disorder,0.5646252552,0.377037,29
Hepatosplenomegaly,0.5644764957,0.579502,11
Blood_lactate_dehydrogenase_increased,0.5615522711,0.791799,64
Blepharospasm,0.5610793486,0.553394,12
Tachypnoea,0.5604193688,0.463501,20
Vestibular_disorder,0.5602564103,0.517188,11
Asphyxia,0.559956935,0.535025,12
Hepatocellular_injury,0.5596347426,0.809857,57
Panic_attack,0.5588141026,0.544008,11
Bundle_branch_block,0.5583120782,0.689838,53
Sinus_arrhythmia,0.557994258,0.403711,13
Miosis,0.5578379654,0.75878,30
Meningitis_aseptic,0.557367142,0.387152,19
Cheilitis,0.556094215,0.327346,23
Fat_redistribution,0.5560897436,0.340742,12
Skin_papilloma,0.5548446261,0.548912,18
Respiratory_distress,0.5542768959,0.763975,62
Ocular_hyperaemia,0.554081989,0.544758,16
Appendicitis,0.5539736165,0.436763,12
Ventricular_arrhythmia,0.5532818773,0.648681,31
Hypertensive_crisis,0.55275109,0.451288,16
Cholelithiasis,0.5505033186,0.811413,66
Influenza_like_illness,0.5504084967,0.502568,26
Dizziness_postural,0.5501937985,0.400643,17
Gout,0.5499797524,0.806592,99
Macular_oedema,0.549732906,0.46871,11
Unintended_pregnancy,0.5491218691,0.596022,13
Vitreous_floaters,0.5486955261,0.677144,18
Personality_disorder,0.5469800691,0.663946,36
Anger,0.5463963964,0.560417,14
Renal_failure_acute,0.5457174336,0.783167,119
Neuralgia,0.5455462185,0.779044,77
Sinus_headache,0.5444824707,0.480811,27
Regurgitation,0.5442406692,0.42359,14
Ventricular_extrasystoles,0.5430485933,0.801914,80
Megacolon,0.5428418803,0.341582,11
Tonsillitis,0.5424077593,0.420681,18
Lactic_acidosis,0.5417735043,0.476054,11
Bacterial_infection,0.5415937086,0.647829,33
Intermittent_claudication,0.5413006029,0.415766,17
Extrasystoles,0.5402468954,0.805763,98
Corneal_erosion,0.5398704336,0.747044,12
Electroencephalogram_abnormal,0.5398534644,0.507529,19
Penis_disorder,0.5387312562,0.605357,15
Laboratory_test_abnormal,0.5376474433,0.493737,31
Retinal_detachment,0.5371016365,0.724453,17
Hyperpyrexia,0.5368491755,0.642457,21
Fungal_infection,0.5367843903,0.79081,64
Skin_ulcer,0.5366654438,0.808078,81
Epilepsy,0.5366407263,0.490433,20
Osteopenia,0.5362624988,0.391621,12
Sciatica,0.535960379,0.457701,17
Respiratory_depression,0.5355689847,0.639802,50
Leukocytosis,0.5355134134,0.791207,98
Tongue_disorder,0.5348677492,0.548793,25
Anaphylactoid_reaction,0.5346161865,0.700411,168
Cerebral_haemorrhage,0.534040293,0.65559,41
Myasthenia_gravis,0.5329594017,0.34238,11
Lymphocytosis,0.5311972358,0.698994,25
Retching,0.5311369509,0.386658,17
Body_temperature_decreased,0.5306443886,0.610946,32
Hepatic_function_abnormal,0.5300022573,0.757654,205
Drug_eruption,0.5297950614,0.50091,36
Left_ventricular_dysfunction,0.5293182606,0.547119,12
Dysphoria,0.5292825855,0.578511,18
Rash_papular,0.5280907327,0.556411,30
Crocodile_tears_syndrome,0.5280577089,0.546225,17
Tenderness,0.5276165045,0.753704,149
Lymphadenopathy,0.5274798753,0.754827,143
Disease_progression,0.5273778154,0.493782,34
Bursitis,0.5268565928,0.694388,50
Arterial_thrombosis,0.5267226529,0.556306,17
Haematoma,0.5261072524,0.804897,69
Hemiparesis,0.5259111271,0.417832,16
Haemorrhage,0.525250444,0.719124,349
Connective_tissue_disorder,0.5252494763,0.797116,103
Pharyngeal_oedema,0.5251064251,0.578438,13
Hyperbilirubinaemia,0.5250237417,0.791732,90
Menopause,0.5247410309,0.582087,21
Muscle_contracture,0.5243654094,0.650203,13
Dermatitis_exfoliative,0.5243322729,0.779203,154
Pyuria,0.5237892522,0.75165,42
Oculogyric_crisis,0.5231663036,0.776295,26
Sleep_apnoea_syndrome,0.5231303419,0.620956,11
Haematocrit_decreased,0.5228346482,0.571286,24
Hypomagnesaemia,0.522199601,0.726074,51
Metastatic_neoplasm,0.522008547,0.397935,11
Optic_nerve_disorder,0.5217923033,0.689622,40
Oesophageal_ulcer,0.5217208091,0.697459,38
Hyperglycaemia,0.5212103058,0.785856,215
Meningism,0.5211004274,0.627661,11
Feeling_abnormal,0.5210425967,0.56939,23
Hypertonia,0.5205810003,0.755833,134
Atelectasis,0.5204817045,0.59116,28
Coma_hepatic,0.5202457265,0.686196,11
Tetany,0.5200419986,0.425434,20
Urinary_hesitation,0.5200185738,0.589287,24
Necrotising_colitis,0.5196047009,0.333653,11
Hypoaesthesia,0.5186397452,0.75661,246
Heart_rate_irregular,0.5185451935,0.412931,12
Uveitis,0.5182029973,0.502835,24
Antinuclear_antibody_positive,0.5179232498,0.575453,27
Peripheral_vascular_disorder,0.5179043459,0.739751,47
Fibroadenoma_of_breast,0.5177290615,0.376113,12
Dyspareunia,0.5172542735,0.39735,11
Gingival_bleeding,0.5171715433,0.588914,42
Visual_acuity_reduced,0.5169101732,0.724228,35
Salivary_gland_enlargement,0.5167840158,0.468869,20
Nephritis,0.5151882624,0.841214,90
Depressed_mood,0.5143178165,0.504618,19
Bone_pain,0.5140541496,0.779998,99
Oral_disorder,0.5138882289,0.54543,13
Viral_diarrhoea,0.5133226503,0.574922,21
Suicide_attempt,0.5131923804,0.489225,36
Retinal_disorder,0.5130808254,0.673297,31
Akinesia,0.5125159254,0.421407,19
Uterine_haemorrhage,0.5123596211,0.567127,34
Renal_failure,0.512105091,0.747561,245
Hypersomnia,0.5119232189,0.379126,15
Upper_respiratory_tract_infection,0.5113072922,0.724788,200
