ADR name,Random Forest Mean AUC,Web Mean AUC,Positive Count
Cardiac_valve_disease,0.7204633205,0.661378,14
Osteoarthropathy,0.6929214929,0.455577,14
Sialoadenitis,0.6731660232,0.549647,14
Bladder_pain,0.6716346154,0.476799,11
Atrial_flutter,0.6687636166,0.49254,26
Lipase_increased,0.6581196581,0.56689,11
Rhinitis_allergic,0.6564102564,0.54454,11
Perineal_pain,0.6541867142,0.588065,13
Tenosynovitis,0.6540742456,0.44696,27
Oculogyric_crisis,0.6400962237,0.776295,26
Faeces_discoloured,0.6349358974,0.550181,11
Balanitis,0.6323600386,0.581017,12
Lactic_acidosis,0.6306089744,0.476054,11
Abdominal_pain_lower,0.6301530566,0.550169,19
Renal_failure_chronic,0.6255098505,0.468844,12
Panic_reaction,0.6187678774,0.373168,22
Lung_neoplasm_malignant,0.6175807547,0.292067,20
Bradykinesia,0.6169240669,0.542019,14
Torsade_de_pointes,0.6165118034,0.795548,51
Macular_oedema,0.6086538462,0.46871,11
Vasculitis_necrotising,0.6063522825,0.749035,17
Tendon_disorder,0.6062717858,0.472919,22
Tachypnoea,0.6061392131,0.463501,20
Iron_deficiency,0.6042733393,0.415064,13
Cerebral_infarction,0.6035312273,0.602403,26
Hyperpyrexia,0.6033755732,0.642457,21
Polydipsia,0.5997565672,0.513429,15
Adenoma_benign,0.5982714583,0.649465,13
Supraventricular_extrasystoles,0.5960170201,0.460835,23
Gamma-glutamyltransferase_increased,0.5925784043,0.714167,38
Injection_site_inflammation,0.5920036765,0.672888,25
White_blood_cell_count_decreased,0.591555304,0.531122,27
Bacterial_infection,0.5883626877,0.647829,33
Lymphopenia,0.5863516484,0.788057,41
Cognitive_disorder,0.5846470424,0.53605,23
Pemphigoid,0.5844627019,0.39098,15
Laboratory_test_abnormal,0.5844527092,0.493737,31
Gastrointestinal_perforation,0.5837972524,0.46535,16
Menopause,0.5836774915,0.582087,21
Periorbital_oedema,0.5835023073,0.671202,27
Fungal_infection,0.5805679855,0.79081,64
Corneal_erosion,0.5800180675,0.747044,12
Ventricular_dysfunction,0.5800086803,0.631481,18
Hypersomnia,0.5787540032,0.379126,15
Tetany,0.5780526218,0.425434,20
Pruritus_generalised,0.5777670528,0.516442,14
Drug_withdrawal_syndrome,0.5755828631,0.512424,12
Blood_alkaline_phosphatase_increased,0.5750933557,0.774862,118
Enteritis,0.5750761955,0.504621,27
Hyperthermia,0.5741171404,0.447812,17
Intestinal_perforation,0.5736958177,0.456141,21
Leukaemia,0.5725947492,0.683816,39
Periodontitis,0.5712606838,0.612761,11
Dyspnoea_exertional,0.5702894515,0.449393,12
Hypovolaemia,0.5692456906,0.538443,19
Renal_artery_stenosis,0.5689636752,0.675713,11
Rash_erythematous,0.5678427626,0.74739,58
Fibroadenoma_of_breast,0.5676133551,0.376113,12
Angina_unstable,0.5675925926,0.564607,17
Nodal_arrhythmia,0.567293461,0.557815,12
Labyrinthitis,0.566991387,0.558278,13
Opportunistic_infection,0.566838932,0.512184,17
Biliary_colic,0.5656871844,0.437634,12
Carcinogenicity,0.5645651307,0.570795,18
Uterine_haemorrhage,0.5633718134,0.567127,34
Impaired_healing,0.5626019333,0.86208,54
Emotional_distress,0.5622699123,0.492582,27
Abdominal_pain_upper,0.5622560836,0.766273,98
Conjunctival_oedema,0.5584840655,0.796654,17
White_blood_cell_count_increased,0.5580759331,0.455769,14
Renal_tubular_necrosis,0.558029833,0.54792,24
Atopy,0.5575534006,0.619397,15
Neurological_symptom,0.5574413424,0.607048,13
Delusion,0.5571428571,0.83365,56
Inflammatory_bowel_disease,0.556547619,0.849882,23
Amblyopia,0.5563307125,0.820663,76
Joint_stiffness,0.5554431734,0.5466,23
Blood_lactate_dehydrogenase_increased,0.5544664215,0.791799,64
Abnormal_faeces,0.5542727824,0.426393,18
Feeling_abnormal,0.5542224702,0.56939,23
Congenital_eye_disorder,0.554031284,0.401517,13
Duodenal_ulcer,0.5524552048,0.62475,39
Gingival_pain,0.5522970085,0.452533,11
Proteinuria,0.5510617201,0.796424,82
Uterine_disorder,0.5507288882,0.490744,12
