ADR name,Random Forest Mean AUC,Web Mean AUC,Positive Count
Osteopenia,0.661790293,0.391621,12
Dermatitis_atopic,0.657445302,0.602455,30
Megacolon,0.6448183761,0.341582,11
Fibroadenoma_of_breast,0.6421257796,0.376113,12
Eye_pruritus,0.6297346165,0.527132,28
Tachypnoea,0.6282657032,0.463501,20
Respiratory_distress,0.6268322555,0.763975,62
Bladder_spasm,0.6215811966,0.819444,11
Arteriosclerosis,0.6203024453,0.60984,14
Choking,0.6180050243,0.650236,12
Periorbital_oedema,0.6161185734,0.671202,27
Ovarian_cancer,0.6113218988,0.677756,12
Respiratory_failure,0.6112074683,0.794469,57
Retinal_detachment,0.6103359173,0.724453,17
Body_temperature_decreased,0.6083722602,0.610946,32
Paraesthesia_oral,0.6075096221,0.390199,30
Ear_disorder,0.607146682,0.672206,42
Tooth_infection,0.6053361053,0.352489,12
Ventricular_dysfunction,0.6035393144,0.631481,18
Proteinuria,0.6029771317,0.796424,82
Micturition_disorder,0.6027315458,0.612499,28
Feeling_cold,0.6026514333,0.689614,28
Neurological_symptom,0.6013563014,0.607048,13
Gastrointestinal_perforation,0.5996602915,0.46535,16
Choreoathetosis,0.5992722284,0.68083,23
Hepatocellular_injury,0.5991838496,0.809857,57
Lymphopenia,0.5981721612,0.788057,41
Haematemesis,0.597371983,0.831169,72
Vitreous_detachment,0.5943780319,0.637458,12
Thinking_abnormal,0.5936979462,0.730907,84
Skin_burning_sensation,0.5935897436,0.613506,11
Cytomegalovirus_infection,0.5932519058,0.414691,12
Cerebellar_syndrome,0.5925213675,0.577214,11
Uveitis,0.591103388,0.502835,24
Neoplasm_skin,0.5905645461,0.567978,23
Diabetes_insipidus,0.5898504274,0.627501,11
Pulmonary_toxicity,0.5894632821,0.77141,20
Haemoglobin_decreased,0.5892871319,0.830613,50
Gangrene,0.5888888889,0.527778,11
Torticollis,0.5888532547,0.527924,21
Cardiac_valve_disease,0.5873873874,0.661378,14
Tardive_dyskinesia,0.5849693442,0.88931,31
Breath_odour,0.5841510416,0.570163,27
Leukocytoclastic_vasculitis,0.5833445028,0.651047,33
Ventricular_arrhythmia,0.5805727594,0.648681,31
Hyperthyroidism,0.5801259156,0.502377,28
Wound_infection,0.5787966538,0.457147,14
Gastrointestinal_pain,0.5785724701,0.526776,29
Gingival_pain,0.5783653846,0.452533,11
Myopia,0.5776780102,0.50525,16
Aplasia,0.5766670098,0.636169,27
Prothrombin_level_decreased,0.5758411339,0.432541,18
Hypercholesterolaemia,0.5752656267,0.765884,100
Telangiectasia,0.5730961645,0.8445,20
Personality_disorder,0.5729300611,0.663946,36
Arterial_disorder,0.5726532798,0.55186,42
Carcinogenicity,0.5705345084,0.570795,18
Atopy,0.5683477497,0.619397,15
Protrusion_tongue,0.5682240278,0.949984,22
Pancreatitis_haemorrhagic,0.5668275418,0.475192,14
Enteritis,0.5668147691,0.504621,27
Iritis,0.5650872889,0.604912,27
Multi-organ_failure,0.5646909959,0.549519,12
Pleural_effusion,0.5636093639,0.806661,82
Appendicitis,0.5633415008,0.436763,12
Dysphoria,0.5629028042,0.578511,18
Myocarditis,0.5628593576,0.537633,21
Lip_swelling,0.5625163369,0.503071,15
Rales,0.5624302455,0.624155,23
Meningitis,0.5622914515,0.65995,42
Duodenal_ulcer,0.5620471958,0.62475,39
Myocardial_rupture,0.5592882494,0.929168,19
Keratitis,0.558569847,0.797628,71
Feeling_jittery,0.5575632294,0.528997,27
Perineal_pain,0.5574829225,0.588065,13
Opportunistic_infection,0.5571059432,0.512184,17
Tenosynovitis,0.5569325076,0.44696,27
Renal_tubular_necrosis,0.5569205091,0.54792,24
Lung_infiltration,0.5567879074,0.720535,37
Pulmonary_hypertension,0.5564485039,0.475964,24
Muscle_contractions_involuntary,0.5562090888,0.546427,34
Hyperthermia,0.5558354866,0.447812,17
Joint_swelling,0.5557893208,0.450454,31
Renal_failure_acute,0.5555894193,0.783167,119
Musculoskeletal_chest_pain,0.5544510445,0.439454,13
Tonsillitis,0.554394692,0.420681,18
Scleritis,0.5543411543,0.714281,12
Teratogenicity,0.5543281654,0.540583,17
Infection_susceptibility_increased,0.5537100287,0.527007,13
Paralysis,0.5527429685,0.742337,107
Aplasia_pure_red_cell,0.5510683761,0.680875,11
Aggression,0.5506793294,0.824192,87
Sensory_disturbance,0.5505148005,0.501442,14
Cardio-respiratory_arrest,0.5495478036,0.527456,17
Lactic_acidosis,0.5491987179,0.476054,11
Glossodynia,0.5490395899,0.561677,20
Hemiplegia,0.5479526522,0.590982,31
Vestibular_disorder,0.5474358974,0.517188,11
Nystagmus,0.5471628799,0.847001,63
Thrombocytopenic_purpura,0.5471361269,0.843551,61
Haemorrhage_intracranial,0.5471145718,0.37952,21
Tongue_disorder,0.5464392702,0.548793,25
Emotional_disorder,0.5464075339,0.467551,12
Gastric_ulcer,0.546006858,0.811298,55
Bronchiolitis,0.5458333333,0.484195,11
Squamous_cell_carcinoma,0.545735285,0.424372,20
Abdominal_pain_lower,0.5436701843,0.550169,19
Amylase_increased,0.5430592009,0.542041,29
Platelet_count_decreased,0.5424032129,0.68702,43
Photopsia,0.5423964481,0.348996,18
Red_blood_cell_sedimentation_rate_increased,0.5414155144,0.543839,22
Renal_failure_chronic,0.5413727601,0.468844,12
Lung_disorder,0.5407988304,0.783471,70
Cerebral_infarction,0.5404956427,0.602403,26
Nephropathy_toxic,0.5399462233,0.906982,52
Leiomyoma,0.539666078,0.333223,15
Disturbance_in_attention,0.5394461496,0.483648,23
Ear_infection,0.539364401,0.835589,117
Gingival_hyperplasia,0.5392623471,0.625396,28
Congenital_eye_disorder,0.539026334,0.401517,13
Cholelithiasis,0.5389270435,0.811413,66
Fungal_infection,0.5384383356,0.79081,64
Sexual_dysfunction,0.5383765743,0.608202,40
Flank_pain,0.5382200181,0.484732,22
Thrombocytopenia,0.5379409183,0.806264,409
Panic_attack,0.5372863248,0.544008,11
Carbohydrate_tolerance_decreased,0.5371195512,0.88833,28
Antinuclear_antibody_positive,0.5367008046,0.575453,27
Alcohol_intolerance,0.5365599321,0.584272,19
Hyperphosphataemia,0.5360090405,0.736761,29
Faeces_discoloured,0.5360042735,0.550181,11
Hyperlipidaemia,0.5359059822,0.815643,67
Eye_haemorrhage,0.5354973127,0.489807,34
Myeloid_leukaemia,0.5350600319,0.508547,19
Muscle_spasms,0.5350464609,0.728309,328
Macular_oedema,0.5346688034,0.46871,11
Coma,0.5346231081,0.774905,121
Myoclonus,0.5346197472,0.786052,55
Testicular_disorder,0.5334409991,0.557658,17
Induration,0.5333426339,0.691461,23
Thrombotic_thrombocytopenic_purpura,0.5332661016,0.616519,25
Bone_disorder,0.532687512,0.541402,42
Anosmia,0.5326482939,0.480775,18
Impaired_healing,0.5323872819,0.86208,54
Renal_artery_stenosis,0.5321581197,0.675713,11
Nephritis,0.5320041044,0.841214,90
Urinary_tract_infection,0.5315617348,0.769366,214
Cogwheel_rigidity,0.5310761311,0.424206,13
Chloasma,0.5308405108,0.680776,13
Ocular_hyperaemia,0.5306401085,0.544758,16
Cardiac_fibrillation,0.5302018362,0.761701,153
Viral_infection,0.5300498592,0.800331,101
Hepatobiliary_disease,0.5296572804,0.776839,83
Acute_respiratory_distress_syndrome,0.5293594428,0.673929,27
Disorientation,0.529074054,0.836875,80
Hypersomnia,0.5288757196,0.379126,15
Ejaculation_failure,0.5283981784,0.655743,13
Gamma-glutamyltransferase_increased,0.5280033711,0.714167,38
Tendonitis,0.5274019962,0.54795,35
Ventricular_extrasystoles,0.5273660548,0.801914,80
Hyperkeratosis,0.5263775014,0.488047,22
Muscle_twitching,0.5257992137,0.804797,91
Blepharitis,0.5252980415,0.746848,54
Pruritus_genital,0.5252541757,0.557237,26
Hypoproteinaemia,0.5251646904,0.673574,32
Nephropathy,0.524805265,0.883726,63
Balance_disorder,0.5244099492,0.5067,26
Keratopathy,0.5236645299,0.476958,11
Laryngospasm,0.5231538155,0.80071,58
Prostatic_disorder,0.5230202733,0.731997,47
Death,0.5223529507,0.752809,194
Hepatic_enzyme_increased,0.5220462009,0.782585,97
Purpura,0.5208241901,0.750157,214
Paranoia,0.5207723642,0.813306,57
Corneal_opacity,0.5206933678,0.530695,17
Mania,0.5203545487,0.81778,50
Lymphoproliferative_disorder,0.5200470258,0.777625,19
Body_temperature_increased,0.5200276313,0.741708,445
Stupor,0.5199705206,0.777492,59
Swelling,0.5199039737,0.762494,177
Tinnitus,0.5196103717,0.781798,261
Pruritus_generalised,0.5193693694,0.516442,14
Infertility,0.518997778,0.448177,18
Bronchospasm,0.5188725337,0.778139,167
Tenderness,0.5187017611,0.753704,149
Malaise,0.5186884962,0.723338,388
Vomiting,0.5183576745,0.759162,616
Respiratory_depression,0.518322815,0.639802,50
Ataxia,0.5181766144,0.818044,162
Cutaneous_vasculitis,0.5180319855,0.734836,15
Abdominal_pain_upper,0.5180238533,0.766273,98
Neuralgia,0.5175544064,0.779044,77
Sinus_arrhythmia,0.5172616573,0.403711,13
Hyperbilirubinaemia,0.5167713135,0.791732,90
Hepatic_cirrhosis,0.5166229221,0.57504,29
Shock,0.5162642015,0.781693,176
Coordination_abnormal,0.5159625676,0.845284,90
Akinesia,0.5158974337,0.421407,19
Gingivitis,0.5158080471,0.82793,75
Hyperpyrexia,0.5156955687,0.642457,21
Parotid_gland_enlargement,0.5156704878,0.698892,16
Polycythaemia,0.5150199142,0.689773,24
Oesophageal_ulcer,0.5147742364,0.697459,38
Dry_eye,0.5146671876,0.798105,99
Nightmare,0.5145779161,0.851551,76
Septic_shock,0.5143728344,0.672001,13
Eye_pain,0.5143445598,0.734206,117
Phlebitis,0.5141000421,0.747756,111
Skin_irritation,0.5134653993,0.565345,33
Anaphylactoid_reaction,0.5132560613,0.700411,168
Pseudomembranous_colitis,0.5132247249,0.939515,48
Hot_flush,0.5131855293,0.773638,105
Anaphylactic_shock,0.5130382302,0.744231,283
Pancreatitis_acute,0.5129942008,0.478856,31
Lethargy,0.5126452614,0.727895,121
Cerebral_haemorrhage,0.5125970696,0.65559,41
Grand_mal_convulsion,0.5125097899,0.62213,38
Unintended_pregnancy,0.5122943273,0.596022,13
Sciatica,0.5118647717,0.457701,17
Azotaemia,0.5118231574,0.83553,53
Breast_neoplasm,0.5117508362,0.455577,36
Leukoencephalopathy,0.5117283951,0.872188,26
Muscle_atrophy,0.5117117117,0.602179,14
Fat_redistribution,0.5117055242,0.340742,12
Dental_caries,0.5116061804,0.463272,32
Infestation,0.511507653,0.803111,110
Blood_pressure_increased,0.5113559144,0.822896,69
Oedema,0.5112073451,0.711721,515
Hepatic_function_abnormal,0.5111721166,0.757654,205
Gallbladder_disorder,0.5110873923,0.47834,12
Drug_abuse,0.5108407768,0.655084,30
Iron_deficiency_anaemia,0.5107999208,0.529857,13
Dizziness,0.510722906,0.739191,561
Ulcer,0.5105617683,0.721062,249
Amblyopia,0.51039744,0.820663,76
Cardiac_failure,0.5099800681,0.767597,237
Aspartate_aminotransferase_increased,0.5098595875,0.778046,136
Pulmonary_eosinophilia,0.5096852544,0.508066,19
Intestinal_obstruction,0.509580736,0.820272,63
Restless_legs_syndrome,0.5095619658,0.316784,11
Fluid_overload,0.5093293656,0.642104,33
Hypertonia,0.5084417232,0.755833,134
Agranulocytosis,0.5084175172,0.810201,212
Aneurysm,0.5083763997,0.37885,17
Arterial_stenosis,0.5082799145,0.724777,11
Irritability,0.5082708862,0.763643,114
Porphyria,0.5076303785,0.543857,25
Mydriasis,0.5073503763,0.839575,76
Upper_respiratory_tract_infection,0.5072218128,0.724788,200
Drug_eruption,0.5068434375,0.50091,36
Uterine_haemorrhage,0.5067235502,0.567127,34
Headache,0.5067171887,0.738737,619
Respiratory_disorder,0.5067090032,0.751519,106
Albuminuria,0.5065508253,0.780113,87
Enuresis,0.5065030146,0.509116,17
Renal_failure,0.5064665085,0.747561,245
Bleeding_time_prolonged,0.5062908497,0.600224,26
Rhinitis_allergic,0.5061965812,0.54454,11
Abdominal_pain,0.5057705842,0.745078,478
Renal_tubular_disorder,0.5053696866,0.76948,45
Stridor,0.5051761004,0.602486,24
Gastrooesophageal_reflux_disease,0.5045269154,0.791663,75
Miosis,0.5042972519,0.75878,30
Hypokinesia,0.5041194101,0.774326,63
Glucose_tolerance_decreased,0.5041128338,0.619262,17
Uterine_leiomyoma,0.5038845365,0.390765,22
Haematocrit_decreased,0.5038290186,0.571286,24
