ADR name,Scikit-Learn Mean AUC,Tensorflow Mean AUC,Positive Count
Scrotal_oedema,1.0,0.563281862247,2.0
Polyserositis,1.0,0.567105912402,2.0
Vaginal_haemorrhage,1.0,0.559494093403,2.0
Peripheral_coldness,1.0,0.569021565611,2.0
Condition_aggravated,1.0,0.919985197225,2.0
Epicondylitis,1.0,0.565190259194,2.0
Pseudocyst,1.0,0.567105912402,2.0
Renal_vessel_disorder,1.0,0.574732243927,2.0
Mitochondrial_toxicity,1.0,0.569007053087,2.0
Oesophageal_perforation,1.0,0.919956172177,2.0
Hypoxia,1.0,0.57282384698,2.0
Corneal_irritation,0.999363867684,0.998096440562,4.0
Adenoma_benign,0.999363867684,0.998096440562,4.0
Drug_hypersensitivity,0.996197718631,0.404942965779,2.0
Ovarian_epithelial_cancer_stage_IV,0.996178294461,0.931469907913,6.0
International_normalised_ratio_increased,0.995236263896,0.797717179926,3.0
Hyperamylasaemia,0.995236263896,0.79580878298,3.0
Sleep_disorder,0.995236263896,0.793900386033,3.0
Decreased_interest,0.995236263896,0.789129393667,3.0
Diverticulum,0.995236263896,0.79008359214,3.0
Exomphalos,0.995236263896,0.797717179926,3.0
Poisoning,0.995236263896,0.791991989087,3.0
Strabismus,0.989342437044,0.996058470053,10.0
Nephrotic_syndrome,0.988549618321,0.952290076336,3.0
Mucous_stools,0.9851112416,0.83679780779,6.0
Blood_culture_positive,0.984790874525,0.866920152091,2.0
Proctocolitis,0.984732824427,0.821882951654,5.0
Prostatism,0.983822903363,0.92975734355,5.0
Bruxism,0.98288973384,0.880228136882,2.0
Ovarian_hyperstimulation_syndrome,0.982819441697,0.932484669455,5.0
Cutaneous_vasculitis,0.979667953444,0.909047591405,4.0
Skin_hypertrophy,0.979087452471,0.490494296578,2.0
Wheezing,0.979051171161,0.824746756451,2.0
Duodenitis_haemorrhagic,0.977179055525,0.530635938815,2.0
Salpingitis,0.977179055525,0.530643195077,2.0
Kidney_fibrosis,0.977179055525,0.530643195077,2.0
Acute_coronary_syndrome,0.977099236641,0.38072519084,3.0
Partial_seizures,0.975285171103,0.596958174905,2.0
Lung_cancer_metastatic,0.975256146054,0.859264795519,2.0
Glomerulonephritis_rapidly_progressive,0.972328244275,0.971374045802,4.0
Delusion,0.970839501156,0.864380460337,3.0
Carotid_artery_occlusion,0.96575528014,0.884398068867,3.0
Bipolar_disorder,0.965670623748,0.517705279656,2.0
Anaemia_vitamin_B12_deficiency,0.961851411101,0.767204597568,3.0
Aortic_bruit,0.961832061069,0.95737913486,5.0
Adenovirus_infection,0.961365564037,0.836902198734,6.0
Abdominal_infection,0.960032508054,0.543087684672,2.0
Hydrocele,0.958015267176,0.868320610687,4.0
Autoimmune_hepatitis,0.956273764259,0.790874524715,2.0
Glomerulonephritis_membranous,0.956273764259,0.737642585551,2.0
Carpal_tunnel_syndrome,0.953244274809,0.940839694656,3.0
Deafness_neurosensory,0.950461498273,0.891286680405,2.0
Anogenital_dysplasia,0.946608423069,0.79082373088,4.0
Eyelids_pruritus,0.944801613793,0.625228572258,2.0
Quadriplegia,0.94179389313,0.552480916031,3.0
Pica,0.936796177323,0.800127713921,4.0
Vestibular_ataxia,0.935877243333,0.869925216519,13.0
Vascular_occlusion,0.93536121673,0.813688212928,2.0
Alkalosis_hypochloraemic,0.935216091487,0.275926624677,2.0
Congenital_diaphragmatic_hernia,0.932251908397,0.568702290076,4.0
Myeloproliferative_disorder,0.929397542041,0.881327961788,10.0
Syphilis,0.925207287222,0.854216855813,3.0
Blepharospasm,0.92277992278,0.940797940798,6.0
Dermatitis_contact,0.919852165752,0.799623158119,4.0
Vascular_dementia,0.915781118488,0.909909690334,6.0
Atrophy,0.913189958896,0.707012951002,9.0
Deficiency_anaemia,0.907591937027,0.718674883091,4.0
Neoplasm_recurrence,0.901155413655,0.815755453255,12.0
Sexually_transmitted_disease,0.900886715235,0.70058485473,2.0
Chronic_leukaemia,0.899239543726,0.904942965779,2.0
Gingival_blister,0.899097181445,0.799864210217,6.0
Electrolyte_imbalance,0.898557455084,0.704263779642,3.0
Hypersomnia,0.898518421398,0.800470064925,4.0
Infarction,0.89829556143,0.873134919456,9.0
Immunodeficiency,0.898254576415,0.912303107705,6.0
Weight_fluctuation,0.897786993541,0.740568115091,5.0
Partner_stress,0.897456283814,0.893261185689,20.0
Tongue_geographic,0.897231977864,0.401440609913,3.0
Pleural_infection,0.893536121673,0.366920152091,2.0
Hyperphosphataemia,0.893169580039,0.752981616345,6.0
Intraventricular_haemorrhage,0.891978444064,0.550464884529,3.0
Diarrhoea_haemorrhagic,0.891978444064,0.549192619898,3.0
Metastasis,0.891978444064,0.547920355267,3.0
Osteodystrophy,0.891978444064,0.542855484283,3.0
Productive_cough,0.88971932778,0.509771766368,3.0
Hypochromic_anaemia,0.886538461538,0.771678487862,5.0
Genital_burning_sensation,0.883335119554,0.855225594643,16.0
Otitis_media_acute,0.882863234008,0.890413314077,8.0
Increased_appetite,0.882517816579,0.909856069986,6.0
Microangiopathic_haemolytic_anaemia,0.880407124682,0.978371501272,4.0
Haemothorax,0.877163973991,0.840687809876,4.0
Facial_nerve_disorder,0.876736568103,0.623705799772,4.0
Arteriovenous_fistula,0.875959663066,0.809562603144,5.0
Bone_marrow_failure,0.874524714829,0.77566539924,2.0
Blood_potassium_decreased,0.873235861033,0.767716060806,12.0
Electrocardiogram_ST_segment,0.87072243346,0.800380228137,2.0
Cervix_neoplasm,0.86979121315,0.648252692073,4.0
Breast_cancer_male,0.867916796263,0.789234431065,18.0
Renal_rickets,0.867605868865,0.250946942211,3.0
Ulcer_haemorrhage,0.866293236989,0.744494754291,7.0
Complex_regional_pain_syndrome,0.865285074352,0.755933203688,3.0
Folate_deficiency,0.864983740556,0.850790375981,8.0
Pneumonia_klebsiella,0.864907877672,0.760897759561,11.0
Papillary_thyroid_cancer,0.864768925212,0.894854537243,4.0
Visual_evoked_potentials_abnormal,0.862404032458,0.710035983276,4.0
Meningioma,0.860984529649,0.679556207007,2.0
Soft_tissue_disorder,0.860460355064,0.666461934427,4.0
Tenderness,0.858996313819,0.731075668302,2.0
Metastases_to_liver,0.858996313819,0.723478361826,2.0
Pressure_of_speech,0.858996313819,0.721548196093,2.0
Schizophreniform_disorder,0.858996313819,0.723463849302,2.0
Parathyroid_tumour,0.858996313819,0.723478361826,2.0
Liver_tenderness,0.858996313819,0.713914608307,2.0
Alcohol_intolerance,0.858996313819,0.717760427249,2.0
Oesophageal_achalasia,0.858996313819,0.719654311671,2.0
Breast_pain,0.858996313819,0.719639799147,2.0
Pruritus_genital,0.858996313819,0.723478361826,2.0
Phantom_pain,0.858996313819,0.723471105564,2.0
Eye_oedema,0.858645455473,0.87211368967,4.0
Vision_blurred,0.856692406692,0.570130272039,8.0
Suicidal_ideation,0.856692406692,0.564405081199,8.0
Dystonia,0.856647630792,0.829298853443,10.0
Vulvovaginal_pruritus,0.856234096692,0.641221374046,5.0
Dry_eye,0.855872933156,0.535134852242,5.0
Capillary_leak_syndrome,0.855704389555,0.54177913873,4.0
Cataract_cortical,0.855285945104,0.509002602579,3.0
Male_sexual_dysfunction,0.855223057499,0.843816213392,2.0
Renal_pain,0.855057767127,0.811908460184,12.0
Retching,0.854831843338,0.743507875692,8.0
Dyslexia,0.854007633588,0.847328244275,4.0
Injection_site_granuloma,0.853053435115,0.478053435115,3.0
Injection_site_pain,0.852812162295,0.712534384517,10.0
Schizophrenia,0.851019924022,0.808937699655,7.0
Blood_bilirubin_abnormal,0.850350979819,0.594545188652,5.0
Cholecystitis_acute,0.850248327291,0.83515833014,7.0
Gastric_haemorrhage,0.848464976913,0.434885548679,6.0
Tachycardia_foetal,0.847328244275,0.381679389313,3.0
Aphasia,0.846263158763,0.748934923935,12.0
Liver_abscess,0.845896743458,0.965732535203,6.0
Sinus_headache,0.844984772571,0.645663866785,10.0
Ammonia_increased,0.84272800897,0.733882182596,8.0
Conjunctival_oedema,0.842661649102,0.684872399819,7.0
Acute_graft_versus_host_disease,0.840986646153,0.696319966336,9.0
Sarcoidosis,0.839905088091,0.800169796534,3.0
Glossodynia,0.8393452929,0.715240032869,11.0
Deafness,0.838326154484,0.789649992635,6.0
Throat_irritation,0.836419291387,0.803048030129,6.0
Staphylococcal_bacteraemia,0.834959945433,0.848463849302,3.0
Eczema_infected,0.834959945433,0.843721881984,3.0
Kaposi's_sarcoma,0.834071053319,0.174955736801,2.0
Peritoneal_adhesions,0.832699619772,0.648288973384,2.0
Peroneal_nerve_palsy,0.832416625548,0.891627724726,2.0
Hypofibrinogenaemia,0.831423717742,0.668109541497,5.0
Choking,0.831389864453,0.368219023017,3.0
Sexually_active,0.827625073772,0.750133031473,3.0
Immunology_test,0.826343134125,0.93606870229,3.0
Linear_IgA_disease,0.825095057034,0.562737642586,2.0
Tendon_pain,0.823044593039,0.560188220212,3.0
Malaise,0.822910922126,0.744507009549,2.0
Drug_abuse,0.822816590718,0.682110411285,2.0
Cardiac_arrest,0.822058436431,0.685558090336,4.0
Haematochezia,0.821966180371,0.764658856469,6.0
"_visual""",0.821707556413,0.391945363046,7.0
Skin_ulcer,0.821612079327,0.82290748531,15.0
Photophobia,0.82142196352,0.732115139012,9.0
Circumoral_oedema,0.821292775665,0.498098859316,2.0
Polyneuropathy,0.818691651265,0.721861095755,5.0
Electroencephalogram_abnormal,0.814515426813,0.890870654708,3.0
Hypocholesterolaemia,0.813684570896,0.691629153737,3.0
Spinal_osteoarthritis,0.811906584456,0.708524490877,18.0
Localised_oedema,0.811787072243,0.815589353612,2.0
Hereditary_angioedema,0.811417002873,0.71820305924,2.0
Calcium_metabolism_disorder,0.810236684646,0.759752840374,10.0
Rash_macular,0.809160305344,0.5,3.0
Blood_urine,0.809160305344,0.495229007634,3.0
Nasal_discomfort,0.807779565264,0.840097186662,8.0
Macular_hole,0.806355588577,0.570903078245,4.0
Atrophic_vulvovaginitis,0.805874840358,0.619731800766,5.0
Hypohidrosis,0.805434878334,0.803702405432,6.0
Dysarthria,0.804566016398,0.757595403599,6.0
Apraxia,0.804182509506,0.365019011407,2.0
Ventricular_flutter,0.802281368821,0.473384030418,2.0
Fallot's_tetralogy,0.802261585057,0.580647622569,8.0
Hypotrichosis,0.799452491976,0.731037657836,14.0
Pathological_gambling,0.797757174318,0.615560055488,5.0
Pelvic_neoplasm,0.797757174318,0.615560055488,5.0
Blood_calcium_increased,0.797757174318,0.61175777412,5.0
Otitis_externa,0.797757174318,0.614292628365,5.0
Histoplasmosis,0.797757174318,0.613025201242,5.0
Hypoproteinaemia,0.796230326002,0.752445298917,12.0
Sinus_operation,0.795990010367,0.70313256575,7.0
Visual_acuity_reduced,0.794401304437,0.729683981165,4.0
Meningitis_viral,0.793254578701,0.632126858812,3.0
Upper_gastrointestinal_haemorrhage,0.792775665399,0.69391634981,2.0
Tooth_deposit,0.790763262028,0.845151365629,3.0
Lung_disorder,0.790763262028,0.837537127875,3.0
Hypogammaglobulinaemia,0.790623070423,0.624749358162,8.0
Paralysis,0.790119782589,0.773620557102,17.0
Scleral_disorder,0.789873262869,0.504599725974,7.0
Myopathy,0.789459409186,0.82985789812,16.0
Scleroderma,0.788712158593,0.912540272255,2.0
Hepatic_encephalopathy,0.786408247328,0.693553816542,10.0
Hypovitaminosis,0.785305343511,0.625954198473,3.0
Hypertrophic_scar,0.785036023125,0.751367318885,4.0
Haematoma,0.782323033667,0.648977317425,3.0
Encephalitis,0.782110922413,0.730483044433,8.0
Pancytopenia,0.781488549618,0.69179389313,3.0
Folliculitis,0.781488549618,0.69179389313,3.0
Skin_exfoliation,0.781078615561,0.792889441165,10.0
Renal_tubular_necrosis,0.780817345369,0.16481511044,3.0
Dermatitis,0.780715757699,0.704336342263,3.0
Pseudomembranous_colitis,0.780393393078,0.841313862505,5.0
Fluid_intake_reduced,0.780288638193,0.732986375314,7.0
Tongue_oedema,0.779467680608,0.226235741445,2.0
Psychomotor_retardation,0.779208334078,0.703492212181,24.0
Sarcosinaemia,0.779148405074,0.771478535977,2.0
Non-small_cell_lung_cancer,0.778416347382,0.814814814815,6.0
Gamma-glutamyltransferase_decreased,0.77830223038,0.716620777064,3.0
Family_stress,0.777539256609,0.672418505267,10.0
Antibody_test_positive,0.777189375853,0.669464042937,10.0
Leukocytoclastic_vasculitis,0.777021380895,0.642997557462,8.0
Pneumonia_aspiration,0.776973945181,0.578607087917,4.0
Trigger_finger,0.776778026103,0.858933426213,3.0
Arthritis,0.776742712294,0.616174319977,4.0
Basophilia,0.776709811049,0.631486802895,9.0
Trichotillomania,0.776365609932,0.652771929355,6.0
Cholecystitis_infective,0.775301659496,0.708219759922,10.0
Electrocardiogram_ST_segment_depression,0.773764258555,0.865019011407,2.0
Ketoacidosis,0.7728515625,0.817400340545,15.0
Intermittent_explosive_disorder,0.771292532863,0.71978691685,4.0
Specific_gravity_urine_increased,0.77118828549,0.731329637477,3.0
Factor_VIII_deficiency,0.771061105975,0.762502643848,23.0
Mean_cell_volume_increased,0.770236401022,0.610632987554,12.0
Apoptosis,0.767763329754,0.292819202972,2.0
Abnormal_sensation_in_eye,0.767727048443,0.236510608655,2.0
White_blood_cell_count_decreased,0.765638968652,0.646685246775,5.0
Breast_cancer_stage_IV,0.764921282399,0.767774358874,23.0
Arthritis_infective,0.764367816092,0.772669220945,6.0
Hypersplenism,0.763216753447,0.623177620591,10.0
Bacterial_infection,0.762466675408,0.42062555541,3.0
Ichthyosis,0.762466675408,0.422541264222,3.0
Tumour_lysis_syndrome,0.762466675408,0.418709846598,3.0
Hepatic_angiosarcoma,0.762466675408,0.419667701004,3.0
Oral_pruritus,0.761784169738,0.76337329115,2.0
Hyperhidrosis,0.76175514469,0.177096334136,2.0
Hot_flush,0.76168983833,0.522929788407,2.0
Urogenital_disorder,0.75945830775,0.776969397789,27.0
Creatinine_renal_clearance_decreased,0.758453618102,0.754694444065,11.0
Enzyme_abnormality,0.757837652783,0.853506548373,3.0
Hyperaesthesia,0.757553768903,0.347599144729,3.0
Myocardial_rupture,0.75628634178,0.554542903859,3.0
Genital_lesion,0.756146054045,0.622630830407,2.0
Skin_disorder,0.755080634588,0.40743168762,4.0
Cardiac_septal_defect,0.754194119525,0.0933445563521,2.0
Pseudolymphoma,0.753746481673,0.712355093349,12.0
Menopause,0.753160102168,0.532192407047,3.0
Neurofibroma,0.752976530247,0.70152718376,16.0
Sedation,0.752273057327,0.502612717738,5.0
Personality_disorder,0.751758334964,0.71203758074,7.0
Pyelonephritis_acute,0.751530387551,0.450110099824,5.0
Malignant_urinary_tract_neoplasm,0.748888074248,0.604031613973,12.0
Anaphylactic_shock,0.747827784408,0.691426697471,36.0
Pyrexia,0.747169520544,0.647128686586,8.0
Colonic_pseudo-obstruction,0.747090825802,0.754173363959,6.0
Aspergillus_infection,0.747044948921,0.749156169251,17.0
Hepatitis_C,0.745648955642,0.645107850856,19.0
Oedema_mucosal,0.744964561824,0.718902635196,6.0
Milia,0.744731741152,0.669960106654,10.0
Infection,0.744681023921,0.704605500473,7.0
Dacryocystitis,0.74367118738,0.616791114664,6.0
Skin_toxicity,0.743038624073,0.727361161844,11.0
Abortion_missed,0.742967607488,0.589344472068,5.0
Congenital_foot_malformation,0.74245012969,0.762623154084,15.0
Vulvovaginitis,0.74206671056,0.749861569536,28.0
Apathy,0.741188421634,0.704729323597,20.0
Cytogenetic_abnormality,0.740458015267,0.330152671756,3.0
Teratogenicity,0.739977422692,0.769638509775,16.0
Stomatitis,0.739543726236,0.910646387833,2.0
Musculoskeletal_stiffness,0.738833729146,0.664433628614,15.0
Joint_effusion,0.737950976693,0.484116042144,3.0
Conjunctival_haemorrhage,0.737127390938,0.608441209764,3.0
Dandruff,0.736899573962,0.646814951303,6.0
Thyroiditis,0.736899573962,0.643624540571,6.0
Burning_sensation,0.736899573962,0.643624540571,6.0
Hepatitis_B_e_antigen_positive,0.736899573962,0.644889493336,6.0
Lung_adenocarcinoma_stage_I,0.736899573962,0.639797997524,6.0
Hypergammaglobulinaemia,0.736899573962,0.642342526786,6.0
Squamous_cell_carcinoma_of_skin,0.735741444867,0.690114068441,2.0
Benign_hydatidiform_mole,0.735619997465,0.628766829478,6.0
Meningitis_bacterial,0.733603257782,0.726011558283,25.0
Petechiae,0.732300638551,0.705062230843,16.0
Skin_infection,0.732049398141,0.555913713385,11.0
Drooling,0.731773956109,0.492946486892,6.0
Monoparesis,0.731677746537,0.290393776496,6.0
Auricular_swelling,0.730805627612,0.716458497225,8.0
Antinuclear_antibody_positive,0.730579059767,0.729897331407,8.0
Lipid_metabolism_disorder,0.730092695761,0.602189907434,11.0
Uterine_cervical_erosion,0.729986204947,0.663539625437,5.0
Ischaemic_stroke,0.729961832061,0.757633587786,3.0
Cranial_nerve_disorder,0.729961832061,0.763358778626,3.0
Testicular_pain,0.729961832061,0.761450381679,3.0
Skin_reaction,0.729705748026,0.637818881712,7.0
Neoplasm_skin,0.729705748026,0.624848306909,7.0
Agitation,0.728221260061,0.644488476944,17.0
Nocturnal_dyspnoea,0.728136882129,0.507604562738,2.0
Blood_testosterone_decreased,0.727785158353,0.649672658669,21.0
Disease_progression,0.727603068989,0.71581665203,8.0
Soft_tissue_infection,0.727527356108,0.0724537776101,2.0
Lactic_acidosis,0.727503609968,0.72309503902,70.0
Encephalopathy,0.727295541525,0.722736018191,33.0
Lipoatrophy,0.726145038168,0.663167938931,3.0
Contact_lens_intolerance,0.725376073626,0.534324334864,5.0
Hypertensive_crisis,0.724676951765,0.532872980493,3.0
Anal_haemorrhage,0.72442383397,0.613861108722,11.0
Fatigue,0.72433460076,0.794676806084,2.0
Maculopathy,0.723819406148,0.582917307636,2.0
Microvascular_coronary_artery_disease,0.723655347899,0.708516129976,4.0
Macrocytosis,0.722838191229,0.673042089709,10.0
Anal_skin_tags,0.722581316071,0.377453130941,7.0
Carotid_bruit,0.722404435027,0.434974216082,3.0
Bone_development_abnormal,0.722127320417,0.657453689088,18.0
Jaundice_hepatocellular,0.722049324721,0.678596594245,9.0
Gingival_recession,0.721208310179,0.495221289553,6.0
Suicidal_behaviour,0.721022835131,0.687644177043,14.0
Meibomianitis,0.720942298203,0.647008243114,3.0
Altered_state_of_consciousness,0.719369505561,0.731193725999,22.0
Penile_discharge,0.71918002273,0.257069801856,5.0
Skin_depigmentation,0.718916591685,0.724675645082,4.0
Candida_sepsis,0.718554762063,0.700449238531,21.0
Diabetic_foot,0.718188546716,0.540954343599,2.0
Biliary_fibrosis,0.718021652686,0.348191739471,2.0
Coagulopathy,0.718011507895,0.687075903029,18.0
Primitive_neuroectodermal_tumour,0.717400453011,0.647879233976,7.0
Myalgia,0.716323676021,0.599911001012,17.0
Hypertonic_bladder,0.716289542125,0.68013187723,24.0
Anovulatory_cycle,0.716037058785,0.675376786064,7.0
Incoherent,0.716027447119,0.471430103439,6.0
Rectal_spasm,0.715565375261,0.385570660285,6.0
Genital_haemorrhage,0.715486654885,0.74225492313,21.0
Corneal_defect,0.715486654885,0.742867721094,21.0
Ascites,0.715486654885,0.743521804034,21.0
Rectal_ulcer,0.714871886965,0.740398103189,14.0
Hyperchloraemia,0.714327657076,0.578386996803,9.0
Ectopic_pregnancy,0.714306446463,0.819720585532,3.0
Myeloid_leukaemia,0.714204858793,0.361826256059,2.0
Gastrinoma,0.713920817369,0.498084291188,5.0
Meningioma_benign,0.713845834536,0.620477497547,19.0
Large_intestinal_haemorrhage,0.713673218964,0.561430346979,9.0
Joint_contracture,0.71329172921,0.588765097012,12.0
Alveolitis_allergic,0.713282247765,0.600255427842,6.0
Cholecystitis,0.712651704221,0.662715363587,14.0
Bedridden,0.712450236013,0.717516512344,11.0
Atrioventricular_block_complete,0.712194874176,0.524867210403,2.0
Gallbladder_polyp,0.711820094162,0.699476319036,11.0
Amylase_increased,0.711660329531,0.501035226734,3.0
Nasopharyngitis,0.71150999901,0.591138253638,12.0
Miosis,0.711363695366,0.552177528887,7.0
Blepharitis_allergic,0.711285231944,0.620173957722,6.0
Growth_hormone_deficiency,0.711192751478,0.712127012336,25.0
Xeroderma,0.711029568323,0.674512331949,21.0
Feeling_hot,0.71102661597,0.560836501901,2.0
Gastric_disorder,0.710302256279,0.762877820349,8.0
Corneal_infection,0.709790874525,0.282675246173,4.0
Vocal_cord_paralysis,0.70927526683,0.719134190036,45.0
Retinal_depigmentation,0.70903479851,0.687181961833,36.0
Ear_pain,0.708770497436,0.699369636934,16.0
Retinal_deposits,0.708687351864,0.72344614931,44.0
Lacrimal_disorder,0.708417419789,0.539187944196,4.0
Spinal_cord_infarction,0.707820429277,0.6447434321,5.0
Arterial_spasm,0.707801645891,0.673812525721,9.0
Osteoarthropathy,0.707327139371,0.65691101297,6.0
Sarcoma,0.707263873799,0.657848611579,20.0
Major_depression,0.707128218836,0.521659389943,8.0
Immune_reconstitution_inflammatory_syndrome,0.706356634494,0.27122452959,4.0
Polydactyly,0.705888641644,0.643460762065,14.0
Procedural_pain,0.704972674194,0.646914970129,25.0
Cushingoid,0.704232649146,0.686371678625,41.0
Renal_cancer,0.704198473282,0.56679389313,3.0
Intestinal_haemorrhage,0.704181402888,0.664186069358,10.0
Facial_wasting,0.703702475685,0.512265448472,10.0
Colorectal_cancer_recurrent,0.703591437212,0.651653663579,11.0
Joint_swelling,0.702935068149,0.553020404757,5.0
