ADR name,TF KFOLD Mean AUC,TF IS Mean AUC,Positive Count
Recall_phenomenon,0.896971129447,0.910236122827,20.0
Ureteric_obstruction,0.86866304289,0.789501932303,13.0
Acute_leukaemia,0.856627819875,0.802421755109,16.0
Hypertrophic_cardiomyopathy,0.829867914145,0.724738384071,16.0
Paraparesis,0.828645833333,0.712076114697,15.0
Fat_embolism,0.818356870994,0.700210947695,15.0
Polymyalgia_rheumatica,0.815328102828,0.768868642378,12.0
Secondary_adrenocortical_insufficiency,0.80948789512,0.809903279507,12.0
Blood_uric_acid_increased,0.788797826987,0.695039013893,18.0
Exophthalmos,0.778150993068,0.708294674322,27.0
Ovarian_disorder,0.770584723355,0.683163594862,17.0
Abscess_sterile,0.767686087315,0.70177281954,16.0
Ejection_fraction,0.767507316705,0.869240836549,12.0
Blood_cholesterol_increased,0.764346920449,0.735222702685,23.0
Testicular_pain,0.763805334618,0.666703886269,15.0
Cerebellar_syndrome,0.76036436688,0.783705541362,11.0
Blindness_cortical,0.758919732662,0.739290676229,23.0
Hypochloraemia,0.75790291762,0.737886357323,11.0
Cushing's_syndrome,0.752665599719,0.728464995315,12.0
Myocardial_rupture,0.749545206727,0.678362005764,19.0
Graft_loss,0.749192324192,0.631936790771,12.0
Carbohydrate_tolerance_decreased,0.748497728181,0.679353144106,28.0
Pneumocystis_jirovecii_pneumonia,0.745714020987,0.730644427942,17.0
Skin_test_positive,0.744705666244,0.667426160335,21.0
Alkalosis_hypokalaemic,0.744661570544,0.666339406627,21.0
Muscle_mass,0.744561399299,0.666436803716,21.0
Personality_change,0.741897599496,0.716082717821,24.0
Blepharospasm,0.741771294895,0.603478826295,12.0
Drug_reaction_with_eosinophilia_and_systemic_symptoms,0.740527621923,0.681311089185,14.0
Torticollis,0.736627648907,0.702080719547,21.0
Compression_fracture,0.735017889414,0.662227187188,22.0
Intraocular_pressure_increased,0.730144912176,0.68422171568,44.0
Withdrawal_syndrome,0.727769513576,0.662621611606,25.0
Injection_site_haemorrhage,0.726646771414,0.608053781967,14.0
Hyperadrenocorticism,0.726368231031,0.72600187822,24.0
Ophthalmoplegia,0.725057696322,0.631814840111,11.0
Growth_retardation,0.724991580165,0.715804164434,18.0
Nitrogen_balance_negative,0.723782443861,0.680632957157,24.0
Varicose_vein,0.723691840293,0.607406134192,33.0
Mass,0.722774787648,0.695739396887,44.0
Febrile_neutropenia,0.722483456009,0.757138939792,70.0
Oral_disorder,0.719718303479,0.637473922031,13.0
Electrolyte_imbalance,0.718852670301,0.669104812877,45.0
Rash_macular,0.717853100037,0.656852160495,11.0
Pneumonia_aspiration,0.717145841377,0.632981041957,11.0
Renal_failure_chronic,0.714305626428,0.546868297849,12.0
Extravasation,0.713750812216,0.714926159912,70.0
Hyporeflexia,0.713471784157,0.611334548761,33.0
Poisoning,0.713131553041,0.668509960489,25.0
Atrioventricular_block_first_degree,0.710205317283,0.640831185551,20.0
Drug_hypersensitivity,0.708720671221,0.640406504105,16.0
Faecalith,0.707316560258,0.756658672778,18.0
Telangiectasia,0.705120588877,0.744061947806,20.0
Electrocardiogram_change,0.704071904401,0.586598773876,26.0
Hydronephrosis,0.702200081669,0.65816064613,23.0
Varicella,0.702165753364,0.528970826196,16.0
Methaemoglobinaemia,0.701472402635,0.676500229761,15.0
Tooth_impacted,0.701102170118,0.747740429192,24.0
Oesophagitis_ulcerative,0.700869288284,0.669698001683,26.0
Lactic_acidosis,0.700776290103,0.550437468972,11.0
Swollen_tongue,0.700120645006,0.529904356289,16.0
Ichthyosis,0.699886339615,0.805073073965,21.0
Nasal_discomfort,0.69909970081,0.72824376206,19.0
Benign_intracranial_hypertension,0.698895407214,0.709933517106,39.0
Nasal_ulcer,0.698494156052,0.704807270025,14.0
Arrhythmia_supraventricular,0.697704038881,0.604641087627,21.0
Hirsutism,0.692895989871,0.656778266415,79.0
Cardiomegaly,0.692787995857,0.67268321962,45.0
Lymphoedema,0.69253838025,0.658503352207,25.0
Cell_death,0.692515655707,0.635168716792,36.0
Menstruation_irregular,0.692479691613,0.675006435983,62.0
Breast_enlargement,0.692286499982,0.599766971486,53.0
Skin_striae,0.690109810724,0.701738186803,41.0
Mucosal_inflammation,0.690091776798,0.733390294865,48.0
Ascites,0.689725404192,0.651586374618,49.0
Elderly,0.689600921387,0.718638117353,25.0
Lenticular_opacities,0.688645844288,0.610418194867,18.0
Skin_cancer,0.686830946708,0.628053863778,36.0
Osteonecrosis,0.68624845692,0.660464976734,44.0
Anaemia_megaloblastic,0.686238383071,0.572437400698,15.0
Pericardial_effusion,0.685927985545,0.628819485253,41.0
Second_primary_malignancy,0.684422006339,0.781316554127,24.0
Pancreatitis_haemorrhagic,0.683731345632,0.645098961831,14.0
Drug_withdrawal_syndrome,0.682667145167,0.802717638959,12.0
Nasal_septum_perforation,0.679690868018,0.682340951906,15.0
Basal_cell_carcinoma,0.678205555101,0.587869353679,21.0
Faecal_incontinence,0.677740897304,0.655265277358,41.0
Hypoproteinaemia,0.677621333922,0.659867354404,32.0
Fluid_retention,0.676872531577,0.692786309632,66.0
Squamous_cell_carcinoma,0.676654840662,0.661507597852,20.0
Cataract_subcapsular,0.674867144421,0.684314527034,36.0
Osteopenia,0.672288634789,0.703103703111,12.0
Paraplegia,0.671243196024,0.593142639544,20.0
Pulmonary_congestion,0.669742457261,0.661240687439,31.0
Blood_prolactin_increased,0.668183888245,0.660989771504,11.0
Coma_hepatic,0.668170605604,0.723573527246,11.0
Calcinosis,0.667265031445,0.65889570079,15.0
Cardiomyopathy,0.66713619528,0.633793210868,54.0
Ileus_paralytic,0.666952636979,0.647017393451,34.0
Wound_infection,0.666882030254,0.696606862315,14.0
Muscle_atrophy,0.666473616474,0.539214276564,14.0
Stupor,0.665936402978,0.566501656249,59.0
Diabetes_insipidus,0.662398795407,0.686143521027,11.0
Sticky_skin,0.661857171809,0.680610255945,18.0
Subarachnoid_haemorrhage,0.660444615423,0.451852081347,13.0
Bronchiolitis,0.660208572852,0.591949994105,11.0
Hypomania,0.658801825081,0.624022455544,15.0
Optic_atrophy,0.658504119244,0.628847253376,13.0
Neoplasm_skin,0.658328951929,0.634040058518,23.0
Osteoporosis,0.657547646156,0.652556322487,80.0
Lens_disorder,0.65695352215,0.623877385284,26.0
Alkalosis,0.65672058895,0.668088029655,37.0
Azoospermia,0.656590067518,0.626383568488,30.0
