ADR name,TF KFOLD Mean AUC,TF SOIS Mean AUC,Positive Count
Recall_phenomenon,0.896971129447,0.79255952381,20.0
Ureteric_obstruction,0.86866304289,0.761330548392,13.0
Acute_leukaemia,0.856627819875,0.659701514426,16.0
Hypertrophic_cardiomyopathy,0.829867914145,0.673955845383,16.0
Paraparesis,0.828645833333,0.773842494661,15.0
Fat_embolism,0.818356870994,0.689071364391,15.0
Polymyalgia_rheumatica,0.815328102828,0.822220209736,12.0
Secondary_adrenocortical_insufficiency,0.80948789512,0.805513465092,12.0
Blood_uric_acid_increased,0.788797826987,0.683920732597,18.0
Exophthalmos,0.778150993068,0.72965521494,27.0
Ovarian_disorder,0.770584723355,0.479025690369,17.0
Abscess_sterile,0.767686087315,0.678540651714,16.0
Ejection_fraction,0.767507316705,0.745147211485,12.0
Blood_cholesterol_increased,0.764346920449,0.644295225094,23.0
Testicular_pain,0.763805334618,0.776201925704,15.0
Cerebellar_syndrome,0.76036436688,0.620998345085,11.0
Blindness_cortical,0.758919732662,0.607465000068,23.0
Hypochloraemia,0.75790291762,0.66416089974,11.0
Cushing's_syndrome,0.752665599719,0.799887339811,12.0
Myocardial_rupture,0.749545206727,0.613718390859,19.0
Graft_loss,0.749192324192,0.624427283416,12.0
Carbohydrate_tolerance_decreased,0.748497728181,0.621655126691,28.0
Pneumocystis_jirovecii_pneumonia,0.745714020987,0.685720874329,17.0
Skin_test_positive,0.744705666244,0.67417555978,21.0
Alkalosis_hypokalaemic,0.744661570544,0.678294398656,21.0
Muscle_mass,0.744561399299,0.673593582782,21.0
Personality_change,0.741897599496,0.681609767731,24.0
Blepharospasm,0.741771294895,0.687725523903,12.0
Drug_reaction_with_eosinophilia_and_systemic_symptoms,0.740527621923,0.726856383365,14.0
Torticollis,0.736627648907,0.664334104931,21.0
Compression_fracture,0.735017889414,0.674127736754,22.0
Intraocular_pressure_increased,0.730144912176,0.717682511176,44.0
Withdrawal_syndrome,0.727769513576,0.653965001005,25.0
Injection_site_haemorrhage,0.726646771414,0.364337999602,14.0
Hyperadrenocorticism,0.726368231031,0.710917559367,24.0
