ADR name,Tensorflow Mean AUC,Web Mean AUC,Positive Count
Ureteric_obstruction,0.86866304289,0.620763,13.0
Acute_leukaemia,0.856627819875,0.612749,16.0
Hypertrophic_cardiomyopathy,0.829867914145,0.875427,16.0
Paraparesis,0.828645833333,0.829597,15.0
Fat_embolism,0.818356870994,0.917992,15.0
Polymyalgia_rheumatica,0.815328102828,0.689782,12.0
Secondary_adrenocortical_insufficiency,0.80948789512,0.888372,12.0
Blood_uric_acid_increased,0.788797826987,0.527242,18.0
Exophthalmos,0.778150993068,0.793608,27.0
Ovarian_disorder,0.770584723355,0.510639,17.0
Abscess_sterile,0.767686087315,0.850144,16.0
Blood_cholesterol_increased,0.764346920449,0.497024,23.0
Testicular_pain,0.763805334618,0.644025,15.0
Cerebellar_syndrome,0.76036436688,0.577214,11.0
Blindness_cortical,0.758919732662,0.763283,23.0
Hypochloraemia,0.75790291762,0.576575,11.0
Cushing's_syndrome,0.752665599719,0.987378,12.0
Myocardial_rupture,0.749545206727,0.929168,19.0
Graft_loss,0.749192324192,0.532361,12.0
Carbohydrate_tolerance_decreased,0.748497728181,0.88833,28.0
Skin_test_positive,0.744705666244,0.929211,21.0
Alkalosis_hypokalaemic,0.744661570544,0.943541,21.0
Muscle_mass,0.744561399299,0.934488,21.0
Personality_change,0.741897599496,0.669278,24.0
Blepharospasm,0.741771294895,0.553394,12.0
Torticollis,0.736627648907,0.527924,21.0
Compression_fracture,0.735017889414,0.914266,22.0
Intraocular_pressure_increased,0.730144912176,0.767552,44.0
Withdrawal_syndrome,0.727769513576,0.709148,25.0
Injection_site_haemorrhage,0.726646771414,0.547244,14.0
Hyperadrenocorticism,0.726368231031,0.905614,24.0
Ophthalmoplegia,0.725057696322,0.537942,11.0
Growth_retardation,0.724991580165,0.759232,18.0
Nitrogen_balance_negative,0.723782443861,0.904662,24.0
Varicose_vein,0.723691840293,0.555871,33.0
Mass,0.722774787648,0.798029,44.0
Febrile_neutropenia,0.722483456009,0.849944,70.0
Oral_disorder,0.719718303479,0.54543,13.0
Electrolyte_imbalance,0.718852670301,0.683175,45.0
Rash_macular,0.717853100037,0.701469,11.0
Pneumonia_aspiration,0.717145841377,0.657035,11.0
Renal_failure_chronic,0.714305626428,0.468844,12.0
Extravasation,0.713750812216,0.799553,70.0
Hyporeflexia,0.713471784157,0.62143,33.0
Atrioventricular_block_first_degree,0.710205317283,0.616356,20.0
Drug_hypersensitivity,0.708720671221,0.359816,16.0
Faecalith,0.707316560258,0.477879,18.0
Telangiectasia,0.705120588877,0.8445,20.0
Electrocardiogram_change,0.704071904401,0.57109,26.0
Hydronephrosis,0.702200081669,0.698224,23.0
Varicella,0.702165753364,0.514865,16.0
Methaemoglobinaemia,0.701472402635,0.585314,15.0
Tooth_impacted,0.701102170118,0.505159,24.0
Oesophagitis_ulcerative,0.700869288284,0.92532,26.0
Lactic_acidosis,0.700776290103,0.476054,11.0
Swollen_tongue,0.700120645006,0.473116,16.0
Ichthyosis,0.699886339615,0.776738,21.0
Nasal_discomfort,0.69909970081,0.774592,19.0
Benign_intracranial_hypertension,0.698895407214,0.853533,39.0
Nasal_ulcer,0.698494156052,0.908397,14.0
Arrhythmia_supraventricular,0.697704038881,0.582906,21.0
Hirsutism,0.692895989871,0.882682,79.0
Cardiomegaly,0.692787995857,0.829658,45.0
Lymphoedema,0.69253838025,0.621039,25.0
Menstruation_irregular,0.692479691613,0.838869,62.0
Breast_enlargement,0.692286499982,0.81627,53.0
Skin_striae,0.690109810724,0.948941,41.0
Mucosal_inflammation,0.690091776798,0.86692,48.0
Ascites,0.689725404192,0.785647,49.0
Elderly,0.689600921387,0.569203,25.0
Lenticular_opacities,0.688645844288,0.535819,18.0
Skin_cancer,0.686830946708,0.625588,36.0
Osteonecrosis,0.68624845692,0.792867,44.0
Anaemia_megaloblastic,0.686238383071,0.554468,15.0
Pericardial_effusion,0.685927985545,0.791205,41.0
Second_primary_malignancy,0.684422006339,0.836513,24.0
Pancreatitis_haemorrhagic,0.683731345632,0.475192,14.0
Drug_withdrawal_syndrome,0.682667145167,0.512424,12.0
Nasal_septum_perforation,0.679690868018,0.873243,15.0
Basal_cell_carcinoma,0.678205555101,0.426488,21.0
Faecal_incontinence,0.677740897304,0.670771,41.0
Hypoproteinaemia,0.677621333922,0.673574,32.0
Fluid_retention,0.676872531577,0.78288,66.0
Squamous_cell_carcinoma,0.676654840662,0.424372,20.0
Cataract_subcapsular,0.674867144421,0.925682,36.0
Osteopenia,0.672288634789,0.391621,12.0
Paraplegia,0.671243196024,0.785591,20.0
Pulmonary_congestion,0.669742457261,0.589168,31.0
Coma_hepatic,0.668170605604,0.686196,11.0
Calcinosis,0.667265031445,0.808091,15.0
Cardiomyopathy,0.66713619528,0.778035,54.0
Ileus_paralytic,0.666952636979,0.854463,34.0
Wound_infection,0.666882030254,0.457147,14.0
Muscle_atrophy,0.666473616474,0.602179,14.0
Stupor,0.665936402978,0.777492,59.0
Diabetes_insipidus,0.662398795407,0.627501,11.0
Sticky_skin,0.661857171809,0.537867,18.0
Subarachnoid_haemorrhage,0.660444615423,0.406018,13.0
Bronchiolitis,0.660208572852,0.484195,11.0
Hypomania,0.658801825081,0.535803,15.0
Optic_atrophy,0.658504119244,0.651973,13.0
Neoplasm_skin,0.658328951929,0.567978,23.0
Osteoporosis,0.657547646156,0.850289,80.0
Lens_disorder,0.65695352215,0.69354,26.0
Alkalosis,0.65672058895,0.788473,37.0
Azoospermia,0.656590067518,0.669932,30.0
Pharyngeal_oedema,0.656588319088,0.578438,13.0
Pulmonary_toxicity,0.65658596776,0.77141,20.0
Dizziness_postural,0.656285916628,0.400643,17.0
Iridocyclitis,0.654546135338,0.838942,14.0
Arachnoiditis,0.654478897502,0.706334,20.0
Dependence,0.6542617269,0.84112,17.0
Bradykinesia,0.652916579935,0.542019,14.0
Movement_disorder,0.652529546011,0.527619,15.0
Polycythaemia,0.651778556255,0.689773,24.0
Speech_disorder,0.651748958307,0.823249,81.0
Dermatitis_acneiform,0.651541869153,0.957548,34.0
Skin_lesion,0.650931719897,0.507052,12.0
Leukoderma,0.650241364368,0.850695,44.0
Bladder_pain,0.650129909182,0.476799,11.0
Seasonal_allergy,0.649728832541,0.648798,16.0
Hordeolum,0.649701555161,0.352703,11.0
Eye_infection,0.649422433036,0.721663,29.0
Personality_disorder,0.649163095438,0.663946,36.0
Myocarditis,0.64794963937,0.537633,21.0
Ocular_hyperaemia,0.647848404269,0.544758,16.0
Bruxism,0.647806231349,0.518814,14.0
Bone_marrow_failure,0.647548061947,0.814863,97.0
Lymphoproliferative_disorder,0.647300364045,0.777625,19.0
Iron_deficiency,0.647114147114,0.415064,13.0
Obstructive_airways_disorder,0.646819531762,0.451271,18.0
Porphyria,0.646337127592,0.543857,25.0
Hypernatraemia,0.645615358585,0.806804,53.0
Pruritus_generalised,0.645282370282,0.516442,14.0
Cachexia,0.645239803717,0.542892,25.0
Sinus_arrest,0.644014028121,0.603346,17.0
Superinfection,0.643892827064,0.803831,15.0
Paresis,0.64353544552,0.739414,40.0
Iron_deficiency_anaemia,0.643461043461,0.529857,13.0
Herpes_simplex,0.643317820067,0.793317,109.0
Lupus_miliaris_disseminatus_faciei,0.643078744507,0.946706,23.0
Pain_in_jaw,0.642451486162,0.687012,25.0
Neoplasm,0.641408675802,0.768188,127.0
Mucous_membrane_disorder,0.640210194904,0.736312,33.0
Adrenal_insufficiency,0.639264364144,0.746086,29.0
Cellulitis,0.639089081427,0.801936,87.0
Lacrimal_disorder,0.639002977818,0.434938,27.0
Neoplasm_malignant,0.638856032547,0.784123,112.0
Acute_myeloid_leukaemia,0.638297101088,0.86328,16.0
Dementia,0.637857436705,0.522352,27.0
Skin_necrosis,0.636992557663,0.66037,29.0
Deafness,0.636650708738,0.774147,88.0
Xanthopsia,0.636598005493,0.841923,14.0
Haemorrhoids,0.636471699279,0.719241,53.0
Retinitis_pigmentosa,0.635430151517,0.483026,28.0
Skin_irritation,0.635416350776,0.565345,33.0
Myeloid_leukaemia,0.633651147948,0.508547,19.0
Disturbance_in_attention,0.633598069747,0.483648,23.0
Hypoxia,0.633364987186,0.811818,73.0
Coombs_direct_test_positive,0.632475176892,0.983384,12.0
Enuresis,0.632238878794,0.509116,17.0
Cushingoid,0.631622997631,0.870991,39.0
Pigmentation_disorder,0.631322062914,0.781193,56.0
Chest_discomfort,0.630732594122,0.79907,64.0
Hypertrophy,0.630461793,0.774005,144.0
Abscess,0.630367118522,0.756335,99.0
Scab,0.630210193254,0.473545,20.0
Gastrointestinal_tract_irritation,0.630009496676,0.467377,21.0
Dermatitis_atopic,0.629358277027,0.602455,30.0
Priapism,0.629065918113,0.744289,38.0
Crocodile_tears_syndrome,0.628824820831,0.546225,17.0
Deficiency_anaemia,0.628335983569,0.485867,15.0
Osteoporotic_fracture,0.628017868556,0.44503,11.0
Grand_mal_convulsion,0.627792997968,0.62213,38.0
Sepsis,0.627487379292,0.792624,117.0
Rheumatoid_arthritis,0.627106182533,0.386705,20.0
Periodontitis,0.626816239316,0.612761,11.0
Infertility,0.625902947477,0.448177,18.0
Blood_glucose_decreased,0.62569260108,0.497563,21.0
Herpes_virus_infection,0.625518675103,0.796064,134.0
Hernia,0.623687056404,0.798492,68.0
Libido_increased,0.623298565878,0.821554,53.0
Miliaria,0.622992995339,0.891661,34.0
Myopathy,0.622873168688,0.806869,87.0
