ADR name,Web Mean AUC,Paper Mean AUC,Positive Count
Pyelonephritis_acute,nan,-,0.0
Infected_cyst,nan,-,1.0
Carcinoma_of_lung,nan,-,
Complication_of_pregnancy,nan,-,1.0
Pregnancy,nan,-,4.0
Loin_pain,nan,-,
Oesophageal_reflux_aggravated,nan,-,
Myasthenia,nan,-,
Apnoea,0.815921,-,78.0
Inflammation_localised,nan,-,
Vascular_stenosis,nan,-,3.0
Cushingoid,0.870991,0.9001,39.0
Nephrotic_syndrome,0.734449,-,48.0
Lipoid_nephrosis,nan,-,
Nephrosis,nan,-,
Oral_disorder,0.54543,-,13.0
Haemorrhagic_anaemia,nan,-,1.0
Oestrogen_low,nan,-,
Congenital_oral_malformation,nan,-,1.0
Latex_allergy,nan,-,
Head_titubation,nan,-,1.0
Lockjaw,nan,-,
Drug_habit,nan,-,
Consciousness_clouding,nan,-,
Retinal_exudates,nan,-,1.0
Dry_mouth,0.761118,-,333.0
Respiratory_sighs,nan,-,
Cholangiocarcinoma,nan,-,1.0
Respiratory_rate_decreased,nan,-,6.0
Expressive_language_disorder,nan,-,2.0
Tachypnoea,0.463501,-,20.0
Initial_insomnia,nan,-,8.0
Hyposthenuria,nan,-,2.0
Macrocytosis,nan,-,6.0
Peripheral_neuroepithelioma,nan,-,
Prolonged_menses,nan,-,
Hypomania,0.535803,-,15.0
Urogenital_disorder,nan,-,10.0
Urinary_retention,0.798327,-,164.0
Pain_of_skin,nan,-,9.0
Pallor_of_skin,nan,-,
Metastatic_neoplasm,0.397935,-,11.0
Distention,nan,-,
Vasoconstriction_peripheral,nan,-,
Aortic_aneurysm,nan,-,5.0
Ichthyosis,0.776738,-,21.0
Neoplasm,0.768188,-,127.0
Alopecia,0.744294,-,314.0
Oligohydramnios,nan,-,4.0
Fatigability,nan,-,
Erythrocytosis,nan,-,
Postnasal_drip,nan,-,
Arrhythmia_supraventricular,0.582906,-,21.0
Glomerulonephritis,nan,-,5.0
Common_cold,nan,-,
Tendon_disorder,0.472919,-,22.0
Coccydynia,nan,-,1.0
Encephalitis_cytomegalovirus,nan,-,0.0
Retinal_vascular_occlusion,nan,-,1.0
Glomerulitis,nan,-,
Globus_hystericus,nan,-,
Retinal_tear,nan,-,0.0
Stickler's_syndrome,nan,-,1.0
Cerebrovascular_accident,0.758238,-,146.0
Eyelid_function_disorder,nan,-,1.0
Stridor,0.602486,-,24.0
Alcohol_craving,nan,-,
Restless_legs_syndrome,0.316784,-,11.0
Periorbital_oedema,0.671202,-,27.0
Electroretinogram_abnormal,nan,-,
Appetite_disorder,nan,-,5.0
Vomiting_neonatal,nan,-,1.0
Atypical_mycobacterial_infection,nan,-,1.0
Mycobacterial_infection,nan,-,7.0
Penicillin_allergy,nan,-,
Mycobacterium_avium_complex_infection,nan,-,3.0
Gas,nan,-,
Chronic_lymphocytic_leukaemia,nan,-,4.0
Halo_vision,nan,-,2.0
Hypertensive_episode,nan,-,
Growth_retardation,0.759232,-,18.0
Granuloma_skin,nan,-,1.0
Growth_accelerated,nan,-,1.0
Monocyte_count_increased,nan,-,3.0
Neutrophilia,nan,-,3.0
Groin_pain,nan,-,6.0
Hair_discoloration,nan,-,
Semen_abnormal,nan,-,
Glomerular_filtration_rate_decreased,nan,-,2.0
Haemangioma_congenital,nan,-,1.0
Lung_neoplasm_malignant,0.292067,-,20.0
Hypertension_worsened,nan,-,
Bronchiolitis,0.484195,-,11.0
Obliterative_bronchiolitis,nan,-,10.0
Adrenal_cortical_hypofunction,nan,-,
Diabetes_mellitus,0.780693,-,138.0
Bronchitis,0.753287,-,203.0
Tremulousness,nan,-,
Fibromyalgia,nan,-,3.0
Muscle_twitching,0.804797,-,91.0
Salivary_gland_enlargement,0.468869,-,20.0
Fibrosarcoma,nan,-,1.0
Fibrosis,0.761992,-,70.0
Hypertrophy_of_breast,nan,-,
Optic_ischaemic_neuropathy,nan,-,9.0
Pain_in_fingers,nan,-,
Hepatic_impairment,nan,-,
Hypocalcemic_tetany,nan,-,
Withdrawal_syndrome,0.709148,-,25.0
Tongue_hairy,nan,-,
Psychiatric_symptom,nan,-,9.0
Anhidrosis,nan,-,1.0
Tongue_neoplasm,nan,-,1.0
Skin_test_reaction,nan,-,
Myoglobinuria,nan,-,3.0
Carotid_artery_thrombosis,nan,-,0.0
Hyperthermia,0.447812,-,17.0
Moniliasis_genital_female,nan,-,
Emotional_poverty,nan,-,2.0
Withdrawal_emotional,nan,-,
Unsteadiness,nan,-,
Feeling_cold,0.689614,-,28.0
Sensation_of_heat,nan,-,
Cholecystitis_chronic,nan,-,1.0
Acute_appendicitis,nan,-,
Cystitis_haemorrhagic,0.479651,-,20.0
Hypersexuality,nan,-,6.0
Prematurity,nan,-,
Coronary_artery_disease,0.679575,-,45.0
Choking_sensation,nan,-,4.0
Cervix_neoplasm,nan,-,0.0
Blacked-out_(not_amnesia),nan,-,
Paraesthesia,0.722091,-,416.0
Hypertrophy,0.774005,-,144.0
Dependence_psychological,nan,-,
Menstrual_disorder,0.827006,-,67.0
Somnambulism,0.50878,-,11.0
Pulmonary_infarction,nan,-,3.0
Cor_pulmonale,nan,-,3.0
Plantar_fasciitis,nan,-,4.0
Tight_foreskin,nan,-,
Inferior_myocardial_infarction,nan,-,
Skin_oedema,nan,-,2.0
Lung_nodule,nan,-,
Sicca_syndrome,nan,-,
Renal_pain,0.785369,-,50.0
Otorrhoea,nan,-,0.0
Excitement,nan,-,
Hepatic_cirrhosis,0.57504,-,29.0
Liver_disorder,0.806742,-,76.0
Sickness,nan,-,
Paraplegia,0.785591,-,20.0
Venous_occlusion,nan,-,7.0
Diabetic_coma,nan,-,3.0
Lacunar_infarction,nan,-,1.0
Tropical_spastic_paresis,nan,-,0.0
Intention_tremor,nan,-,1.0
Tremor_coarse,nan,-,
Tremor_fine,nan,-,
Neuromyopathy,nan,-,2.0
Chromaturia,0.512938,-,18.0
Lacrimation,nan,-,
Hair_texture_abnormal,nan,-,6.0
Scleritis,0.714281,-,12.0
Scleral_disorder,nan,-,8.0
Oxygen_saturation_decreased,nan,-,1.0
Lymphocytic_colitis,nan,-,
Panic_reaction,0.373168,-,22.0
Panic_disorder,nan,-,6.0
Balance_disorder,0.5067,-,26.0
Becker's_muscular_dystrophy,nan,-,3.0
Bone_marrow_failure,0.814863,-,97.0
Hypervitaminosis,nan,-,2.0
Swelling_face,0.604853,-,24.0
Anastomotic_ulcer,nan,-,1.0
Memory_loss,nan,-,
Pseudomembranous_colitis,0.939515,0.9297,48.0
Acquired_haemophilia,nan,-,3.0
Delirium,0.764701,-,78.0
Incontinence,0.770696,-,143.0
Derealisation,nan,-,4.0
Macular_hole,nan,-,1.0
Cystoid_macular_oedema,nan,-,3.0
Paradoxical_pressor_response,nan,-,0.0
Hysteria,nan,-,
Reaction_emotional,nan,-,
Acute_abdomen,nan,-,8.0
Abdominal_cramps,nan,-,
Arthralgia_of_temporomandibular_joint,nan,-,
Brain_neoplasm_benign,nan,-,2.0
Generalised_oedema,0.68342,-,51.0
Lymphocytosis,0.698994,-,25.0
Headache_occurring,nan,-,
