ADR name,OVR Logistic Regression Mean AUC,Web Mean AUC,Positive Count
Ureteric_obstruction,0.935877243333,0.620763,13.0
Polymyalgia_rheumatica,0.901155413655,0.689782,12.0
Acute_leukaemia,0.883335119554,0.612749,16.0
Blood_uric_acid_increased,0.867916796263,0.527242,18.0
Hypochloraemia,0.864907877672,0.576575,11.0
Secondary_adrenocortical_insufficiency,0.855057767127,0.888372,12.0
Graft_loss,0.846263158763,0.532361,12.0
Pneumonia_aspiration,0.8393452929,0.657035,11.0
Paraparesis,0.821612079327,0.829597,15.0
Faecalith,0.811906584456,0.477879,18.0
Injection_site_haemorrhage,0.799452491976,0.547244,14.0
Cushing's_syndrome,0.796230326002,0.987378,12.0
Ovarian_disorder,0.790119782589,0.510639,17.0
Hypertrophic_cardiomyopathy,0.789459409186,0.875427,16.0
Tooth_impacted,0.779208334078,0.505159,24.0
Fat_embolism,0.7728515625,0.917992,15.0
Blindness_cortical,0.771061105975,0.763283,23.0
Heart_rate_irregular,0.770236401022,0.412931,12.0
Blood_cholesterol_increased,0.764921282399,0.497024,23.0
Exophthalmos,0.75945830775,0.793608,27.0
Cerebellar_syndrome,0.758453618102,0.577214,11.0
Renal_failure_chronic,0.753746481673,0.468844,12.0
Varicella,0.752976530247,0.514865,16.0
Breast_engorgement,0.748888074248,0.437322,12.0
Lymphoproliferative_disorder,0.745648955642,0.777625,19.0
Ophthalmoplegia,0.743038624073,0.537942,11.0
Testicular_pain,0.74245012969,0.644025,15.0
Carbohydrate_tolerance_decreased,0.74206671056,0.88833,28.0
Telangiectasia,0.741188421634,0.8445,20.0
Abscess_sterile,0.739977422692,0.850144,16.0
Calcinosis,0.738833729146,0.808091,15.0
Withdrawal_syndrome,0.733603257782,0.709148,25.0
Drug_hypersensitivity,0.732300638551,0.359816,16.0
Bladder_spasm,0.732049398141,0.819444,11.0
Hydrocephalus,0.730092695761,0.469934,11.0
Sinus_arrest,0.728221260061,0.603346,17.0
Myocarditis,0.727785158353,0.537633,21.0
Febrile_neutropenia,0.727503609968,0.849944,70.0
Varicose_vein,0.727295541525,0.555871,33.0
Hepatosplenomegaly,0.72442383397,0.579502,11.0
Sticky_skin,0.722127320417,0.537867,18.0
Pancreatitis_haemorrhagic,0.721022835131,0.475192,14.0
Compression_fracture,0.719369505561,0.914266,22.0
Ichthyosis,0.718554762063,0.776738,21.0
Lenticular_opacities,0.718011507895,0.535819,18.0
Hyperprolactinaemia,0.716323676021,0.497919,17.0
Second_primary_malignancy,0.716289542125,0.836513,24.0
Skin_test_positive,0.715486654885,0.929211,21.0
Muscle_mass,0.715486654885,0.934488,21.0
Alkalosis_hypokalaemic,0.715486654885,0.943541,21.0
Atrioventricular_block_second_degree,0.713845834536,0.745549,19.0
Cytomegalovirus_infection,0.71329172921,0.414691,12.0
Wound_infection,0.712651704221,0.457147,14.0
Rash_macular,0.712450236013,0.701469,11.0
Lactic_acidosis,0.711820094162,0.476054,11.0
Nodal_arrhythmia,0.71150999901,0.557815,12.0
Basal_cell_carcinoma,0.711029568323,0.426488,21.0
Electrolyte_imbalance,0.70927526683,0.683175,45.0
Skin_cancer,0.70903479851,0.625588,36.0
Swollen_tongue,0.708770497436,0.473116,16.0
Mass,0.708687351864,0.798029,44.0
Pulmonary_toxicity,0.707263873799,0.77141,20.0
Pruritus_generalised,0.705888641644,0.516442,14.0
Porphyria,0.704972674194,0.543857,25.0
Pericardial_effusion,0.704232649146,0.791205,41.0
Bronchiolitis,0.703591437212,0.484195,11.0
Oral_disorder,0.702530787174,0.54543,13.0
Arrhythmia_supraventricular,0.702371375901,0.582906,21.0
Oesophagitis_ulcerative,0.702056205773,0.92532,26.0
Hydronephrosis,0.701957650884,0.698224,23.0
Nitrogen_balance_negative,0.701882743643,0.904662,24.0
Mucosal_inflammation,0.700532112768,0.86692,48.0
Muscle_atrophy,0.699420849421,0.602179,14.0
