ADR name,Binary Logistic Regression Mean AUC,Web Mean AUC,Positive Count
Atonic_urinary_bladder,0.999366286439,nan,4.0
Facial_nerve_disorder,0.999366286439,nan,4.0
Gastritis_erosive,0.994915778984,nan,3.0
Urethral_obstruction,0.994915778984,nan,3.0
Proctitis_ulcerative,0.994915778984,nan,3.0
Hypolipidaemia,0.994915778984,nan,3.0
Kaposi's_sarcoma,0.994915778984,nan,3.0
Deafness_bilateral,0.994910941476,nan,6.0
Enlarged_clitoris,0.989185750636,nan,5.0
Polyserositis,0.987320891262,nan,3.0
Toxoplasmosis,0.984732824427,nan,5.0
Atrioventricular_dissociation,0.984708451542,nan,6.0
Osteonecrosis_of_jaw,0.981578769144,nan,4.0
Androgenetic_alopecia,0.97965344092,nan,4.0
Soft_tissue_necrosis,0.972745479349,nan,4.0
Infectious_mononucleosis,0.970839501156,nan,3.0
Blunted_affect,0.968294971894,nan,3.0
Malnutrition,0.96575528014,nan,3.0
Blood_pressure_systolic_decreased,0.961851411101,nan,3.0
Vocal_cord_paresis,0.961832061069,nan,5.0
Vocal_cord_paralysis,0.954834605598,nan,5.0
Ureteric_obstruction,0.951575091575,0.620763,13.0
Gastrointestinal_neoplasm,0.946666473166,nan,4.0
Intestinal_ischaemia,0.946545387188,nan,6.0
Spinal_cord_disorder,0.943459205294,nan,4.0
Retinopathy_of_prematurity,0.935264466568,nan,3.0
Corneal_degeneration,0.927630878782,nan,3.0
Metabolic_alkalosis,0.926910090074,nan,4.0
Large_intestinal_obstruction,0.925221799747,nan,3.0
Nephrocalcinosis,0.925207287222,nan,3.0
Plantar_erythema,0.924921763037,nan,6.0
Acute_lymphocytic_leukaemia,0.91287164156,nan,4.0
Presyncope,0.91241207829,nan,4.0
Schizoaffective_disorder,0.91228630308,nan,4.0
Tumour_pain,0.911523987794,nan,6.0
Palmar-plantar_erythrodysaesthesia_syndrome,0.91125832334,nan,6.0
Floppy_iris_syndrome,0.911193026248,nan,4.0
Renal_cyst,0.909669211196,nan,5.0
Polymyalgia_rheumatica,0.907938570439,0.689782,12.0
Cryptococcosis,0.902637633685,nan,6.0
Pericarditis_constrictive,0.898557455084,nan,3.0
Panniculitis,0.897231977864,nan,3.0
Autoimmune_disorder,0.891978444064,nan,3.0
Acquired_haemophilia,0.891978444064,nan,3.0
Evans_syndrome,0.891978444064,nan,3.0
Autoimmune_thrombocytopenia,0.891978444064,nan,3.0
Meningitis_bacterial,0.88971932778,nan,3.0
Gastrointestinal_toxicity,0.881437272817,nan,10.0
Gastritis_haemorrhagic,0.869890382066,nan,4.0
Lipids_abnormal,0.869164755851,nan,3.0
Normochromic_normocytic_anaemia,0.866964665815,nan,8.0
Lymphocyte_count_decreased,0.865285074352,nan,3.0
Nasal_disorder,0.864293385191,nan,3.0
Vascular_headache,0.861162294171,nan,7.0
Secondary_adrenocortical_insufficiency,0.859953222453,0.888372,12.0
Regressive_behaviour,0.856234096692,nan,5.0
Scleral_haemorrhage,0.855285945104,nan,3.0
Venous_occlusion,0.854610862508,nan,7.0
Albright's_disease,0.854115268143,nan,4.0
Clonic_convulsion,0.85389274277,nan,4.0
Diabetic_hyperosmolar_coma,0.850138836483,nan,3.0
Acute_leukaemia,0.848689553341,0.612749,16.0
Central_obesity,0.847395969388,nan,3.0
Pustular_psoriasis,0.846473130956,nan,10.0
Myoglobinuria,0.845054615466,nan,3.0
Autonomic_nervous_system_imbalance,0.843516324959,nan,7.0
Leukoplakia_oral,0.839694656489,nan,5.0
Atrial_tachycardia,0.838906899826,nan,9.0
Sensory_loss,0.837686330711,nan,6.0
Head_and_neck_cancer,0.834237947349,nan,4.0
Hyperparathyroidism,0.833696146441,nan,3.0
Infertility_female,0.83234648168,nan,4.0
Renal_tubular_acidosis,0.830140485313,nan,8.0
Hypopyon,0.828880407125,nan,5.0
Cataract_nuclear,0.828880407125,nan,5.0
Spinal_cord_infarction,0.828880407125,nan,5.0
Cataract_cortical,0.828880407125,nan,5.0
Portal_vein_thrombosis,0.828587737884,nan,4.0
Vein_discolouration,0.828495825231,nan,4.0
Pneumonia_aspiration,0.827777777778,0.657035,11.0
Pyogenic_granuloma,0.827625073772,nan,3.0
Hypoglycaemic_coma,0.82612544626,nan,3.0
Masked_facies,0.823155216285,nan,5.0
Hepatic_neoplasm,0.822627927902,nan,4.0
Acute_febrile_neutrophilic_dermatosis,0.821200510856,nan,8.0
Neutrophilic_dermatosis,0.821200510856,nan,8.0
Faecalith,0.820572631268,0.477879,18.0
Polymyositis,0.819565785273,nan,3.0
