ADR name,Keras Mean AUC,Tensorflow Mean AUC,Positive Count
Febrile_neutropenia,0.747023321074,0.724250100031,70.0
Extravasation,0.699512280077,0.712844098316,70.0
Menstruation_irregular,0.695061806869,0.694215451228,62.0
Neoplasm,0.668853224009,0.642055297703,127.0
Transaminases_increased,0.668215878024,0.552342727247,52.0
Breast_enlargement,0.653059508729,0.69384044221,53.0
Hirsutism,0.652785014028,0.692279188873,79.0
Stupor,0.651196036692,0.666743533033,59.0
Fluid_retention,0.650722883161,0.677160168284,66.0
Haemorrhoids,0.650392770686,0.633699957455,53.0
Osteoporosis,0.645885694022,0.658592168271,80.0
Speech_disorder,0.633988576797,0.64847063877,81.0
Bone_marrow_failure,0.63257654819,0.647957261433,97.0
Hypernatraemia,0.629073010085,0.646455736713,53.0
Aphasia,0.627337677423,0.610123054012,50.0
Necrosis,0.626573660319,0.600591272829,190.0
Interstitial_lung_disease,0.623196999046,0.593365804639,85.0
Delusion,0.618751868252,0.612237359496,56.0
Herpes_zoster,0.61654140145,0.617997449007,78.0
Sepsis,0.613077371379,0.627131670888,117.0
Chest_discomfort,0.613054663024,0.630600058162,64.0
Oesophagitis,0.612817991134,0.618278090412,153.0
Completed_suicide,0.609679286141,0.612768817204,63.0
Acne,0.60958308205,0.609001868418,162.0
Herpes_virus_infection,0.607750209466,0.625635011984,134.0
Deep_vein_thrombosis,0.607277649123,0.609398008343,93.0
Myocardial_ischaemia,0.606077502363,0.566234054055,72.0
Thrombophlebitis,0.603748631265,0.577281407162,156.0
Mania,0.60244960412,0.61202026068,50.0
Hypertrophy,0.601979153526,0.631297491799,144.0
Mental_impairment,0.601795526458,0.550951062336,50.0
Hypoxia,0.600979733267,0.635176369874,73.0
Abscess,0.599219897967,0.630013910975,99.0
Wheezing,0.596240233842,0.558598224308,82.0
Eye_irritation,0.595537582579,0.620396573177,79.0
Hypokinesia,0.59432575481,0.59593143678,63.0
Libido_increased,0.593458663926,0.623165978531,53.0
Hyperuricaemia,0.592924265697,0.611257272227,108.0
Nervousness,0.591670750081,0.580316949487,272.0
Dystonia,0.590703143939,0.602004212122,71.0
Increased_appetite,0.590527638931,0.556443687973,160.0
Alopecia,0.590424672283,0.607617224982,314.0
Scotoma,0.589356911555,0.561955025199,71.0
Rhinitis,0.588444719256,0.550752580653,233.0
Dysarthria,0.588079468155,0.560382764677,81.0
Myopathy,0.587926849776,0.621611515402,87.0
Nephropathy,0.58749103623,0.562793578453,63.0
Amenorrhoea,0.587009829949,0.62102252482,77.0
Impaired_healing,0.586613049591,0.604259614045,54.0
Pruritus,0.585994596229,0.555230446071,543.0
Neutropenia,0.584749115943,0.58035356314,226.0
Pelvic_pain,0.584129124527,0.555229585978,64.0
Glycosuria,0.583857663311,0.543256413551,105.0
Atrophy,0.583459358806,0.56428951453,79.0
Pigmentation_disorder,0.582980546139,0.629037780585,56.0
Ischaemia,0.582748920056,0.593293501409,120.0
Pulmonary_fibrosis,0.582551409707,0.621216235343,53.0
Toothache,0.581511485298,0.534629790757,54.0
Pallor,0.581320573368,0.556033020443,73.0
Gait_disturbance,0.581250941661,0.553836081815,90.0
Peptic_ulcer,0.581187123875,0.605887330674,71.0
Mental_disorder,0.5803675414,0.587071788398,140.0
Herpes_simplex,0.579675473268,0.64261205236,109.0
Dysphonia,0.579216684094,0.591348096329,94.0
Anaemia,0.578097477445,0.585772343369,417.0
Mood_swings,0.577353563773,0.566990376561,149.0
Aortic_dissection,0.57664534555,0.576495292669,121.0
Hyperbilirubinaemia,0.574955749609,0.571674062018,90.0
Thirst,0.574924915589,0.548809704778,125.0
Hepatomegaly,0.574770899039,0.559461837247,69.0
Dermatitis_bullous,0.574354689914,0.583233730914,88.0
Ageusia,0.57396908039,0.573833153474,76.0
Palpitations,0.572925574595,0.601553647583,291.0
Pulmonary_oedema,0.572702138211,0.580487164263,131.0
Burning_sensation,0.57252102621,0.5046559572,59.0
Jaundice,0.572023141616,0.579200389821,267.0
Infestation,0.572007634854,0.568092597401,110.0
Vision_blurred,0.571827972043,0.565652389488,282.0
Seborrhoeic_dermatitis,0.571763195967,0.550921385558,58.0
Cardiomyopathy,0.571239330449,0.667424116542,54.0
Blepharitis,0.570586223192,0.585126884796,54.0
Hyperaemia,0.569812170049,0.501875762304,53.0
Apnoea,0.569475608208,0.575143539182,78.0
Diabetes_mellitus,0.568976133081,0.60999432858,138.0
Hyperventilation,0.568914336601,0.575975789183,65.0
Electrocardiogram_abnormal,0.568866170928,0.606148600537,54.0
Tooth_disorder,0.568661779892,0.61046049415,80.0
Atrioventricular_block,0.568482461235,0.522324456307,114.0
Neuritis,0.567920377805,0.521731505838,92.0
Asthma,0.56774160741,0.565643068102,176.0
